-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  15.6576   Longitude 79.7139 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 41.69 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,13.24,13.85,14.22,16.78,17.15,16.3,16.91,17.76,17.82,17.33,15.2,14.16,15.93
QV2M,2012,13.43,12.45,15.14,16.78,16.48,15.75,17.21,17.21,17.88,16.97,15.62,14.53,15.81
QV2M,2013,13.67,13.55,14.34,16.97,17.09,17.21,17.09,18.07,18.62,18.49,16.05,12.94,16.17
QV2M,2014,13.37,13.0,13.61,15.81,17.88,16.66,17.09,17.64,18.01,17.15,15.08,13.98,15.81
QV2M,2015,12.63,12.63,14.65,16.48,17.03,17.76,16.97,18.07,18.31,17.03,16.72,14.59,16.11
QV2M,2016,13.12,14.22,15.38,16.85,17.76,18.19,17.82,17.33,18.07,15.75,13.79,12.88,15.93
QV2M,2017,12.76,12.76,15.2,16.48,17.21,17.82,17.58,18.8,19.29,18.31,15.99,13.24,16.3
QV2M,2018,12.21,12.21,14.34,17.09,18.49,16.97,16.6,17.03,17.4,16.11,15.62,14.04,15.69
QV2M,2019,12.39,14.1,15.14,16.42,17.52,17.46,17.82,18.19,18.86,18.98,16.85,15.2,16.6
QV2M,2020,14.71,14.04,14.83,16.72,17.52,18.13,19.04,19.17,19.29,18.49,17.46,14.47,16.97
T2MDEW,2011,18.41,19.04,19.19,21.94,22.19,21.55,22.17,23.03,23.1,22.71,20.6,19.34,21.12
T2MDEW,2012,18.44,17.1,19.98,21.9,21.36,20.9,22.51,22.51,23.17,22.33,20.84,19.9,20.93
T2MDEW,2013,18.92,18.64,19.31,22.04,22.15,22.5,22.39,23.33,23.87,23.78,21.51,17.98,21.38
