-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  28.21   Longitude 94.72 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 697.57 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,6.53,7.63,9.7,11.96,14.28,16.97,18.07,17.27,16.91,12.88,8.73,7.63,12.39
QV2M,2012,6.59,7.32,8.61,12.45,14.47,17.64,19.29,19.65,17.64,13.55,10.07,8.73,13.0
QV2M,2013,7.51,8.91,10.56,12.63,15.75,18.55,19.78,19.17,17.33,13.55,8.91,7.93,13.37
QV2M,2014,7.63,8.18,9.95,11.47,15.5,18.43,19.47,18.98,17.27,13.49,10.93,8.97,13.37
QV2M,2015,8.3,8.97,10.62,12.57,15.32,18.13,18.74,18.8,17.46,13.43,10.31,8.12,13.43
QV2M,2016,7.63,9.4,10.8,13.67,15.01,18.31,19.17,19.59,17.64,14.16,10.68,8.85,13.73
QV2M,2017,7.32,8.79,10.07,13.37,15.44,18.25,18.8,19.41,18.13,15.2,10.38,9.28,13.73
QV2M,2018,8.18,9.03,10.31,12.15,14.71,18.19,19.47,19.29,17.76,12.76,9.77,8.12,13.31
QV2M,2019,6.84,8.42,9.77,12.27,15.2,18.55,18.86,19.59,17.58,14.28,12.21,8.12,13.49
QV2M,2020,7.75,8.42,10.25,11.72,14.47,18.25,19.35,19.41,18.37,15.87,10.13,8.36,13.55
T2MDEW,2011,6.57,8.7,12.24,15.57,18.23,20.96,22.06,21.31,20.97,16.66,10.76,8.58,15.25
T2MDEW,2012,6.58,8.12,10.48,16.03,18.26,21.62,23.11,23.38,21.7,17.28,12.83,10.62,15.85
T2MDEW,2013,8.4,11.02,13.6,16.25,19.73,22.43,23.47,22.97,21.38,17.43,11.0,9.16,16.44
T2MDEW,2014,8.83,9.78,12.65,14.83,19.56,22.32,23.28,22.87,21.31,17.33,14.14,11.02,16.53
T2MDEW,2015,10.02,11.07,13.65,16.28,19.36,22.05,22.63,22.7,21.53,17.37,13.23,9.55,16.65
T2MDEW,2016,8.85,11.85,13.95,17.49,19.08,22.26,23.01,23.33,21.7,18.05,13.71,10.86,17.02
T2MDEW,2017,8.08,10.82,12.84,17.16,19.5,22.21,22.69,23.2,22.14,19.16,13.36,11.63,16.93
T2MDEW,2018,9.72,11.3,13.22,15.75,18.67,22.12,23.21,23.08,21.8,16.48,12.4,9.59,16.47
T2MDEW,2019,7.12,10.2,12.36,15.92,19.26,22.43,22.74,23.32,21.64,18.34,15.93,9.65,16.6
T2MDEW,2020,8.91,10.25,13.22,15.19,18.44,22.19,23.17,23.21,22.37,19.91,12.8,10.12,16.67
GWETTOP,2011,0.71,0.68,0.7,0.72,0.73,0.8,0.91,0.91,0.89,0.84,0.75,0.7,0.78
GWETTOP,2012,0.67,0.64,0.62,0.68,0.77,0.88,0.95,0.92,0.95,0.91,0.8,0.74,0.8
GWETTOP,2013,0.7,0.65,0.63,0.7,0.79,0.84,0.92,0.93,0.91,0.88,0.81,0.74,0.8
GWETTOP,2014,0.7,0.68,0.64,0.6,0.75,0.82,0.89,0.94,0.93,0.86,0.78,0.72,0.77
GWETTOP,2015,0.68,0.65,0.63,0.73,0.8,0.93,0.92,0.93,0.94,0.87,0.8,0.73,0.8
GWETTOP,2016,0.7,0.7,0.7,0.8,0.85,0.88,0.95,0.88,0.94,0.89,0.79,0.71,0.81
GWETTOP,2017,0.67,0.65,0.68,0.76,0.84,0.92,0.95,0.93,0.92,0.91,0.84,0.76,0.82
GWETTOP,2018,0.72,0.7,0.71,0.71,0.75,0.81,0.93,0.9,0.94,0.87,0.81,0.75,0.8
GWETTOP,2019,0.7,0.69,0.69,0.69,0.8,0.86,0.95,0.9,0.92,0.89,0.83,0.77,0.8
GWETTOP,2020,0.73,0.7,0.68,0.73,0.8,0.94,0.97,0.94,0.95,0.91,0.84,0.78,0.83
T2M_MAX,2011,20.41,23.44,27.56,29.92,33.51,36.26,32.55,36.25,33.81,30.0,25.45,24.12,36.26
T2M_MAX,2012,21.28,24.3,28.71,30.55,33.14,32.3,33.68,33.99,33.22,29.33,29.32,23.84,33.99
T2M_MAX,2013,26.72,28.69,29.36,35.68,32.8,35.04,35.73,33.65,32.73,30.07,27.88,24.03,35.73
T2M_MAX,2014,23.19,24.0,28.72,32.48,33.35,33.65,33.41,33.65,33.28,31.53,27.77,25.78,33.65
T2M_MAX,2015,26.49,24.7,30.78,29.19,32.25,34.1,32.77,33.7,31.85,31.26,26.52,24.21,34.1
T2M_MAX,2016,21.95,25.48,29.89,29.22,32.37,32.98,35.05,34.85,32.4,32.12,27.75,28.26,35.05
T2M_MAX,2017,25.58,26.51,28.18,30.61,31.52,33.88,34.73,35.28,33.96,31.01,27.23,26.46,35.28
T2M_MAX,2018,22.58,24.53,27.83,30.19,32.51,34.3,34.91,34.42,33.45,30.51,28.89,23.45,34.91
T2M_MAX,2019,22.77,25.4,28.59,32.76,32.15,35.18,32.3,36.34,34.51,30.92,28.01,26.13,36.34
T2M_MAX,2020,21.18,25.05,28.34,30.66,31.97,33.19,32.15,35.07,33.88,32.12,27.99,23.28,35.07
T2M_MIN,2011,4.19,7.24,9.29,13.3,14.87,18.15,20.67,20.01,17.85,12.91,9.1,5.66,4.19
T2M_MIN,2012,4.72,4.46,7.83,11.61,13.88,19.98,21.39,21.24,19.22,13.63,9.92,6.97,4.46
T2M_MIN,2013,4.01,8.79,11.63,12.55,14.8,21.21,20.96,19.84,18.88,12.8,8.8,5.4,4.01
T2M_MIN,2014,5.9,6.88,9.26,12.94,16.38,21.05,21.83,20.39,17.33,14.11,11.01,7.9,5.9
T2M_MIN,2015,7.19,7.19,10.96,13.68,16.98,18.26,21.26,19.85,20.07,14.46,10.97,5.48,5.48
T2M_MIN,2016,7.01,8.4,9.67,14.82,15.55,20.65,20.88,21.85,18.83,14.15,10.3,7.72,7.01
T2M_MIN,2017,6.26,8.11,10.37,13.76,13.97,18.9,21.28,20.98,20.55,13.58,8.83,8.73,6.26
T2M_MIN,2018,4.56,8.98,9.79,13.21,15.49,20.53,22.03,22.09,19.9,12.88,9.91,5.95,4.56
T2M_MIN,2019,4.56,7.58,6.74,13.12,16.9,20.14,20.57,21.62,17.7,15.28,13.31,5.5,4.56
T2M_MIN,2020,5.76,6.26,11.62,12.31,15.44,17.61,21.41,21.59,20.7,13.65,9.0,6.98,5.76
GWETPROF,2011,0.74,0.7,0.7,0.73,0.74,0.81,0.93,0.95,0.93,0.88,0.79,0.73,0.8
GWETPROF,2012,0.7,0.66,0.62,0.66,0.78,0.89,0.97,0.95,0.98,0.95,0.84,0.78,0.81
GWETPROF,2013,0.73,0.67,0.63,0.69,0.79,0.86,0.95,0.96,0.95,0.92,0.85,0.77,0.81
GWETPROF,2014,0.73,0.7,0.66,0.62,0.72,0.84,0.92,0.97,0.96,0.91,0.82,0.76,0.8
GWETPROF,2015,0.7,0.66,0.65,0.71,0.8,0.95,0.95,0.96,0.97,0.91,0.84,0.77,0.82
GWETPROF,2016,0.73,0.72,0.72,0.8,0.88,0.91,0.97,0.91,0.96,0.93,0.83,0.75,0.84
GWETPROF,2017,0.7,0.66,0.68,0.76,0.87,0.95,0.97,0.96,0.95,0.95,0.88,0.8,0.84
