-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  26.2   Longitude 92.93 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 217.14 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,7.81,8.67,10.74,13.18,17.09,19.53,20.32,19.96,19.71,15.87,11.11,9.03,14.47
QV2M,2012,7.57,7.26,8.85,14.04,16.66,20.2,21.06,21.3,20.39,16.85,12.51,9.64,14.71
QV2M,2013,8.06,8.91,9.58,13.06,18.37,20.81,21.42,21.0,20.08,16.6,12.39,9.83,15.08
QV2M,2014,9.09,8.48,9.64,11.11,16.97,20.32,20.94,20.87,19.59,16.54,12.94,10.01,14.77
QV2M,2015,9.28,8.85,9.4,14.47,18.01,20.75,21.06,21.0,20.39,17.03,13.12,9.95,15.32
QV2M,2016,8.67,10.01,11.11,16.17,17.88,20.69,20.87,21.42,20.32,17.52,13.31,10.38,15.69
QV2M,2017,8.48,9.16,10.8,15.56,18.19,20.75,20.94,21.36,20.63,17.94,13.24,11.29,15.75
QV2M,2018,8.97,10.01,11.41,14.16,17.27,20.39,21.36,21.3,20.2,15.26,11.54,9.28,15.14
QV2M,2019,7.75,8.61,9.58,14.04,17.64,20.39,20.81,21.55,19.9,16.91,13.85,9.28,15.08
QV2M,2020,8.67,8.91,10.25,12.7,16.66,20.14,20.94,21.0,20.51,18.86,12.82,9.46,15.08
T2MDEW,2011,10.05,11.47,14.55,17.9,22.05,24.22,24.88,24.62,24.43,20.95,15.37,12.03,18.58
T2MDEW,2012,9.53,8.67,11.5,18.79,21.54,24.77,25.45,25.69,25.01,21.84,17.06,13.06,18.6
T2MDEW,2013,10.26,11.8,12.83,17.56,23.21,25.23,25.76,25.43,24.73,21.67,17.05,13.33,19.11
T2MDEW,2014,12.4,11.12,12.86,14.94,21.92,24.85,25.37,25.36,24.34,21.55,17.68,13.68,18.88
T2MDEW,2015,12.53,11.69,12.24,19.36,22.9,25.23,25.45,25.47,25.01,22.1,17.92,13.46,19.48
T2MDEW,2016,11.61,13.68,15.15,21.1,22.77,25.19,25.37,25.77,24.93,22.44,18.12,14.31,20.05
T2MDEW,2017,11.12,12.19,14.42,20.55,23.08,25.22,25.4,25.72,25.22,22.8,18.08,15.55,19.98
T2MDEW,2018,11.94,13.69,15.63,19.07,22.26,24.94,25.68,25.68,24.88,20.33,15.86,12.56,19.4
T2MDEW,2019,9.96,11.31,12.8,18.89,22.62,24.92,25.26,25.85,24.59,21.99,18.78,12.62,19.17
T2MDEW,2020,11.54,11.91,14.01,17.16,21.64,24.76,25.39,25.45,25.1,23.73,17.51,12.87,19.28
GWETTOP,2011,0.66,0.62,0.59,0.59,0.66,0.7,0.79,0.84,0.84,0.73,0.66,0.61,0.69
GWETTOP,2012,0.58,0.54,0.5,0.59,0.62,0.78,0.8,0.82,0.84,0.84,0.74,0.66,0.7
GWETTOP,2013,0.62,0.56,0.48,0.55,0.73,0.7,0.81,0.85,0.86,0.84,0.76,0.67,0.7
GWETTOP,2014,0.62,0.58,0.52,0.43,0.61,0.68,0.73,0.77,0.81,0.77,0.67,0.6,0.65
GWETTOP,2015,0.57,0.52,0.41,0.59,0.66,0.8,0.83,0.86,0.88,0.83,0.75,0.7,0.7
GWETTOP,2016,0.65,0.6,0.54,0.61,0.69,0.73,0.8,0.79,0.81,0.77,0.72,0.63,0.7
GWETTOP,2017,0.59,0.55,0.56,0.66,0.67,0.78,0.84,0.86,0.87,0.87,0.81,0.75,0.73
GWETTOP,2018,0.69,0.62,0.59,0.59,0.63,0.72,0.77,0.82,0.81,0.74,0.64,0.61,0.69
GWETTOP,2019,0.57,0.55,0.54,0.58,0.66,0.7,0.77,0.78,0.79,0.8,0.74,0.66,0.68
GWETTOP,2020,0.62,0.58,0.52,0.54,0.66,0.75,0.77,0.75,0.76,0.76,0.68,0.62,0.66
T2M_MAX,2011,24.02,28.86,32.87,35.37,36.88,35.72,33.36,34.52,33.67,32.28,28.15,27.72,36.88
T2M_MAX,2012,24.08,31.92,36.16,37.01,36.96,34.19,33.94,34.73,35.87,31.6,28.65,26.64,37.01
T2M_MAX,2013,27.2,33.15,35.97,38.12,35.0,38.4,34.31,33.44,33.59,31.98,27.3,26.35,38.4
T2M_MAX,2014,27.28,30.02,36.49,40.26,39.11,38.44,35.33,34.87,33.97,32.36,29.63,28.21,40.26
T2M_MAX,2015,29.13,33.73,37.05,35.12,36.23,34.28,34.12,33.26,32.54,32.12,27.86,27.15,37.05
T2M_MAX,2016,25.31,31.77,36.03,37.81,36.37,34.45,34.83,35.37,32.39,32.42,30.11,28.83,37.81
T2M_MAX,2017,29.11,31.87,33.69,35.36,34.97,35.44,35.93,34.01,32.46,31.69,27.94,26.36,35.93
T2M_MAX,2018,25.01,29.64,34.13,36.12,35.65,35.69,35.75,36.1,33.5,31.15,30.23,28.2,36.12
T2M_MAX,2019,28.33,29.8,34.4,37.84,35.88,37.11,35.5,35.48,34.94,30.62,29.24,25.44,37.84
T2M_MAX,2020,25.78,29.96,35.89,38.03,36.55,34.54,33.09,36.46,36.26,33.28,30.05,28.23,38.03
T2M_MIN,2011,7.31,10.68,12.64,16.84,19.53,21.87,23.14,22.48,21.6,17.14,13.52,8.65,7.31
T2M_MIN,2012,7.92,8.22,11.82,17.45,19.32,23.52,23.94,23.46,23.16,18.67,12.08,10.44,7.92
T2M_MIN,2013,5.93,11.92,14.51,16.36,19.35,23.75,24.12,23.75,21.62,17.12,14.64,8.51,5.93
T2M_MIN,2014,10.2,9.8,12.59,18.16,21.97,24.58,24.25,23.88,21.01,17.11,13.98,10.4,9.8
T2M_MIN,2015,10.65,10.66,12.78,18.88,21.91,23.86,23.77,23.72,22.74,19.07,15.45,9.62,9.62
T2M_MIN,2016,8.0,12.01,16.28,19.08,21.35,23.65,23.53,24.39,22.06,19.55,14.94,13.0,8.0
T2M_MIN,2017,9.87,11.49,12.31,18.09,20.98,23.76,23.02,23.71,23.53,16.47,14.52,12.64,9.87
T2M_MIN,2018,7.67,10.51,14.97,19.09,21.33,23.94,24.3,23.58,22.82,18.12,13.24,8.85,7.67
T2M_MIN,2019,8.65,10.58,9.81,18.58,21.7,23.25,23.51,23.92,21.99,18.69,15.21,8.72,8.65
T2M_MIN,2020,8.29,9.69,14.02,18.04,21.04,22.33,24.01,23.48,23.25,20.27,13.81,10.69,8.29
GWETPROF,2011,0.68,0.64,0.61,0.61,0.64,0.68,0.76,0.83,0.83,0.75,0.67,0.63,0.7
GWETPROF,2012,0.6,0.58,0.55,0.59,0.62,0.73,0.79,0.81,0.84,0.84,0.75,0.68,0.7
GWETPROF,2013,0.64,0.59,0.56,0.58,0.69,0.69,0.78,0.84,0.86,0.85,0.77,0.69,0.71
GWETPROF,2014,0.64,0.61,0.58,0.55,0.61,0.66,0.7,0.75,0.79,0.78,0.69,0.63,0.66
GWETPROF,2015,0.6,0.57,0.55,0.59,0.64,0.77,0.81,0.85,0.9,0.84,0.76,0.71,0.72
GWETPROF,2016,0.66,0.62,0.59,0.6,0.66,0.71,0.77,0.78,0.79,0.78,0.72,0.66,0.7
GWETPROF,2017,0.61,0.58,0.58,0.64,0.66,0.75,0.82,0.86,0.88,0.88,0.83,0.76,0.73
GWETPROF,2018,0.7,0.65,0.62,0.6,0.62,0.69,0.74,0.8,0.81,0.75,0.66,0.62,0.69
GWETPROF,2019,0.6,0.58,0.57,0.59,0.64,0.67,0.73,0.77,0.77,0.79,0.75,0.67,0.68
GWETPROF,2020,0.63,0.6,0.58,0.58,0.64,0.72,0.74,0.73,0.73,0.75,0.7,0.63,0.67
GWETROOT,2011,0.66,0.62,0.59,0.6,0.64,0.68,0.77,0.83,0.82,0.73,0.66,0.62,0.69
GWETROOT,2012,0.59,0.56,0.55,0.59,0.62,0.74,0.8,0.81,0.84,0.84,0.73,0.66,0.7
GWETROOT,2013,0.62,0.58,0.55,0.58,0.7,0.68,0.79,0.84,0.86,0.84,0.75,0.67,0.7
GWETROOT,2014,0.62,0.59,0.56,0.54,0.62,0.66,0.7,0.75,0.8,0.77,0.67,0.62,0.66
GWETROOT,2015,0.59,0.55,0.53,0.59,0.65,0.77,0.81,0.85,0.9,0.83,0.74,0.7,0.71
GWETROOT,2016,0.65,0.61,0.57,0.61,0.67,0.71,0.77,0.77,0.8,0.77,0.7,0.63,0.69
GWETROOT,2017,0.59,0.57,0.57,0.64,0.66,0.76,0.82,0.85,0.87,0.88,0.81,0.74,0.73
GWETROOT,2018,0.69,0.63,0.6,0.6,0.63,0.7,0.74,0.8,0.8,0.73,0.64,0.62,0.68
GWETROOT,2019,0.59,0.57,0.56,0.59,0.65,0.68,0.74,0.77,0.77,0.78,0.73,0.66,0.67
GWETROOT,2020,0.62,0.59,0.56,0.58,0.65,0.72,0.74,0.73,0.73,0.74,0.68,0.62,0.66
WS2M_MAX,2011,0.91,1.27,1.96,1.41,1.27,1.27,0.95,0.8,0.73,0.77,0.77,0.94,1.96
WS2M_MAX,2012,0.96,1.31,1.73,1.97,1.4,1.2,0.96,0.84,0.95,0.9,0.86,0.91,1.97
WS2M_MAX,2013,1.02,1.0,1.59,1.79,1.36,0.98,0.98,0.91,0.95,1.01,0.81,0.86,1.79
WS2M_MAX,2014,0.87,1.2,1.7,1.66,1.58,1.12,1.05,0.92,0.9,0.62,0.84,0.89,1.7
WS2M_MAX,2015,1.07,1.41,1.8,1.73,1.07,1.34,1.2,1.04,0.87,0.72,0.77,0.88,1.8
WS2M_MAX,2016,1.02,1.82,1.7,1.74,1.26,1.23,1.04,0.7,0.94,0.71,0.88,0.75,1.82
WS2M_MAX,2017,1.2,1.77,1.82,1.69,1.62,1.28,0.87,1.02,0.77,0.82,0.8,0.82,1.82
WS2M_MAX,2018,0.9,1.18,1.53,1.36,1.25,1.09,1.02,0.77,0.88,0.68,0.93,0.88,1.53
WS2M_MAX,2019,0.9,1.29,1.73,1.38,1.3,1.1,1.05,0.74,0.82,0.71,0.71,0.87,1.73
WS2M_MAX,2020,0.86,0.89,1.73,1.62,1.62,1.15,1.12,0.91,0.77,1.05,0.8,0.85,1.73
WS2M_MIN,2011,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.04,0.02,0.01,0.01,0.01,0.01
WS2M_MIN,2012,0.02,0.01,0.02,0.02,0.0,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.0
WS2M_MIN,2013,0.01,0.02,0.05,0.07,0.02,0.02,0.01,0.05,0.02,0.01,0.02,0.02,0.01
WS2M_MIN,2014,0.0,0.05,0.03,0.02,0.02,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.0
WS2M_MIN,2015,0.01,0.05,0.02,0.01,0.06,0.07,0.04,0.02,0.01,0.02,0.02,0.03,0.01
WS2M_MIN,2016,0.03,0.05,0.04,0.09,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.01
WS2M_MIN,2017,0.03,0.02,0.0,0.07,0.02,0.04,0.04,0.02,0.01,0.01,0.01,0.02,0.0
WS2M_MIN,2018,0.02,0.02,0.04,0.02,0.05,0.05,0.04,0.02,0.02,0.01,0.01,0.01,0.01
WS2M_MIN,2019,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01
WS2M_MIN,2020,0.04,0.01,0.01,0.02,0.02,0.05,0.01,0.01,0.03,0.02,0.02,0.0,0.0
CLOUD_AMT,2011,39.52,46.49,61.92,68.09,77.28,82.91,90.41,78.53,69.99,36.93,31.44,34.13,59.88
CLOUD_AMT,2012,52.2,47.23,59.7,75.51,70.81,89.54,90.02,78.09,82.39,44.07,26.16,37.51,62.79
CLOUD_AMT,2013,37.08,44.41,56.28,72.49,84.31,74.68,86.63,80.28,73.25,57.96,18.74,38.93,60.56
CLOUD_AMT,2014,40.31,48.41,57.88,51.19,78.69,84.67,85.85,89.41,71.57,35.78,31.27,41.99,59.84
CLOUD_AMT,2015,41.81,54.19,53.06,80.04,85.79,88.87,80.34,88.01,68.61,44.66,34.88,38.17,63.23
CLOUD_AMT,2016,49.05,50.34,61.2,75.53,82.16,81.91,90.84,72.68,79.28,43.57,26.48,35.31,62.39
CLOUD_AMT,2017,40.01,36.49,61.95,75.27,87.29,90.2,87.52,91.94,89.45,59.2,28.35,34.07,65.32
CLOUD_AMT,2018,29.01,59.27,55.8,74.41,83.59,87.99,93.64,89.09,80.93,46.13,31.36,32.54,63.62
CLOUD_AMT,2019,21.07,58.91,61.61,75.23,89.63,83.93,91.3,83.55,90.58,63.56,44.48,40.19,67.0
CLOUD_AMT,2020,45.65,51.62,60.34,73.61,85.26,86.17,95.19,83.64,88.28,59.09,31.41,26.97,65.63
PRECTOTCORR,2011,0.48,0.24,2.54,2.62,6.64,8.02,9.2,8.96,5.96,0.41,1.12,0.13,3.88
PRECTOTCORR,2012,0.36,0.16,1.17,6.43,4.63,12.42,8.41,5.73,7.36,3.31,0.63,0.4,4.25
PRECTOTCORR,2013,0.04,0.23,1.01,3.85,9.8,5.78,9.87,7.8,5.72,3.92,0.01,0.09,4.04
PRECTOTCORR,2014,0.03,0.95,0.74,0.86,7.5,8.38,6.15,6.84,10.13,0.88,0.11,0.05,3.56
PRECTOTCORR,2015,0.49,0.37,0.46,5.66,8.37,11.54,8.55,10.74,4.9,2.01,0.78,1.05,4.6
PRECTOTCORR,2016,0.79,0.76,1.39,6.25,8.22,6.1,8.48,5.23,6.48,2.03,1.82,0.24,3.99
PRECTOTCORR,2017,0.03,1.47,3.3,5.96,7.31,9.33,8.77,8.81,7.17,4.9,0.37,0.56,4.85
PRECTOTCORR,2018,0.27,0.28,1.89,3.5,5.04,9.35,7.93,8.25,4.4,0.96,0.32,1.18,3.63
PRECTOTCORR,2019,0.09,1.5,1.32,3.99,7.31,7.13,9.08,6.84,7.2,4.86,0.51,0.05,4.17
PRECTOTCORR,2020,0.51,0.41,0.51,4.41,8.12,8.06,6.57,5.48,6.31,4.49,0.35,0.01,3.78
ALLSKY_SFC_PAR_TOT,2011,60.62,79.15,86.47,100.38,96.69,89.95,88.22,94.65,89.78,93.93,74.12,65.21,84.94
ALLSKY_SFC_PAR_TOT,2012,55.77,79.99,91.09,94.34,102.18,77.22,93.05,96.09,77.96,84.77,78.91,63.12,82.9
ALLSKY_SFC_PAR_TOT,2013,69.24,85.09,93.45,89.46,87.97,103.58,94.38,93.63,89.19,78.34,81.95,61.38,85.59
ALLSKY_SFC_PAR_TOT,2014,67.16,74.09,94.84,109.53,90.54,81.81,96.54,81.64,82.8,92.06,76.12,65.04,84.4
ALLSKY_SFC_PAR_TOT,2015,68.13,74.71,91.18,86.76,89.1,82.51,97.2,79.67,88.77,91.41,76.96,59.7,82.22
ALLSKY_SFC_PAR_TOT,2016,57.2,69.27,83.8,89.55,85.82,97.23,85.66,108.01,85.64,88.59,79.77,69.46,83.36
ALLSKY_SFC_PAR_TOT,2017,71.18,77.66,81.12,84.9,91.9,82.74,97.3,85.41,80.3,79.7,79.92,68.71,81.77
ALLSKY_SFC_PAR_TOT,2018,65.77,69.69,87.4,88.8,89.03,89.6,92.25,95.88,83.56,85.48,74.7,68.15,82.62
