-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  25.09   Longitude 85.31 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 92.56 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,4.82,5.86,5.37,8.0,12.39,17.03,20.63,21.0,20.14,15.26,10.86,7.08,12.39
QV2M,2012,7.08,5.92,5.19,7.81,8.24,13.24,20.45,20.45,19.23,13.24,8.67,6.29,11.35
QV2M,2013,4.88,6.47,6.35,8.12,9.83,17.94,19.47,19.41,19.47,16.72,9.83,7.69,12.21
QV2M,2014,6.71,7.08,7.63,6.59,10.31,15.75,20.75,21.0,19.65,15.2,8.42,5.55,12.08
QV2M,2015,6.53,6.65,7.81,9.83,9.77,14.77,20.69,21.24,19.23,12.82,9.03,5.86,12.02
QV2M,2016,4.94,5.98,6.16,5.74,11.23,15.62,20.63,20.94,20.63,15.75,10.5,7.87,12.21
QV2M,2017,7.08,6.29,6.47,8.12,11.54,15.56,20.94,21.55,20.63,16.54,9.7,6.65,12.63
QV2M,2018,4.03,5.25,4.76,8.67,11.96,15.87,19.41,21.42,19.59,12.76,8.42,5.55,11.54
QV2M,2019,4.94,5.92,5.98,7.75,7.69,14.77,20.87,21.36,20.26,15.69,12.15,8.06,12.15
QV2M,2020,7.2,6.84,9.46,9.16,11.72,18.37,21.42,21.61,20.75,17.27,10.38,7.26,13.49
T2MDEW,2011,2.9,5.83,4.06,9.42,16.61,21.74,25.37,25.67,25.01,20.37,15.24,8.39,15.09
T2MDEW,2012,8.18,5.51,3.46,9.77,9.97,17.23,25.15,25.26,24.23,18.08,11.57,6.48,13.76
T2MDEW,2013,2.92,7.18,6.84,9.95,12.55,22.97,24.38,24.37,24.47,21.96,13.59,9.9,15.12
T2MDEW,2014,7.71,8.26,9.57,7.33,13.39,20.59,25.45,25.67,24.6,20.34,11.04,5.04,14.96
T2MDEW,2015,6.83,7.62,9.76,13.3,12.76,19.33,25.42,25.88,24.23,17.56,12.23,5.26,15.05
T2MDEW,2016,3.26,5.34,6.01,5.01,15.02,20.6,25.33,25.61,25.44,20.77,14.65,10.19,14.8
T2MDEW,2017,8.45,6.73,6.9,9.3,15.42,20.36,25.59,26.13,25.45,21.49,12.84,7.51,15.57
T2MDEW,2018,0.7,4.02,2.37,10.66,16.22,20.87,24.27,26.01,24.61,17.44,11.15,4.88,13.65
T2MDEW,2019,3.05,5.69,5.74,9.4,9.15,19.51,25.52,25.93,25.19,21.01,16.9,10.41,14.83
T2MDEW,2020,8.81,7.89,12.9,12.23,15.96,23.23,26.04,26.16,25.5,22.35,14.33,8.8,17.05
GWETTOP,2011,0.35,0.32,0.21,0.24,0.24,0.42,0.59,0.7,0.73,0.7,0.56,0.48,0.46
GWETTOP,2012,0.45,0.38,0.3,0.22,0.21,0.27,0.55,0.74,0.75,0.67,0.57,0.48,0.47
GWETTOP,2013,0.43,0.39,0.32,0.26,0.23,0.4,0.44,0.5,0.61,0.67,0.59,0.49,0.45
GWETTOP,2014,0.46,0.42,0.38,0.26,0.23,0.35,0.56,0.68,0.72,0.66,0.54,0.45,0.48
GWETTOP,2015,0.43,0.38,0.34,0.28,0.23,0.3,0.65,0.7,0.66,0.49,0.39,0.36,0.43
GWETTOP,2016,0.34,0.3,0.26,0.13,0.24,0.3,0.58,0.65,0.78,0.78,0.69,0.6,0.47
GWETTOP,2017,0.52,0.42,0.34,0.21,0.23,0.31,0.63,0.77,0.73,0.62,0.48,0.41,0.47
GWETTOP,2018,0.38,0.3,0.2,0.19,0.23,0.3,0.44,0.67,0.62,0.43,0.36,0.34,0.38
GWETTOP,2019,0.33,0.31,0.25,0.2,0.14,0.23,0.56,0.62,0.63,0.71,0.6,0.53,0.43
