-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  21.27   Longitude 81.86 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 276.76 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,6.65,7.75,5.8,11.47,11.78,17.52,19.41,20.02,19.04,14.47,10.68,8.3,12.76
QV2M,2012,8.67,7.02,4.21,8.12,6.9,15.56,19.65,20.02,19.04,13.85,11.6,8.67,11.96
QV2M,2013,7.45,8.12,6.16,9.09,8.61,18.8,20.02,19.71,19.23,16.54,11.11,9.03,12.82
QV2M,2014,9.34,8.73,10.07,8.97,10.13,15.26,18.8,19.65,18.43,15.38,10.44,7.51,12.76
QV2M,2015,7.32,7.08,8.3,9.77,9.4,17.33,19.65,19.78,18.68,15.08,12.08,8.97,12.82
QV2M,2016,6.35,7.32,7.45,7.45,11.9,16.97,19.65,19.53,19.53,14.59,9.95,7.93,12.39
QV2M,2017,7.57,6.35,5.62,4.94,9.58,17.27,19.41,19.71,19.35,16.66,11.23,7.87,12.15
QV2M,2018,5.43,6.84,5.43,8.97,11.6,16.97,19.17,19.71,18.07,14.16,10.56,8.0,12.08
QV2M,2019,6.04,6.71,7.51,6.77,8.24,16.11,19.65,19.9,19.96,16.36,12.21,9.83,12.45
QV2M,2020,8.54,8.36,12.21,10.56,12.88,18.49,20.02,20.26,19.65,16.78,11.72,8.61,14.04
T2MDEW,2011,7.19,9.55,4.65,14.49,15.65,22.19,24.01,24.58,23.76,19.23,14.64,10.48,15.89
T2MDEW,2012,10.73,7.43,0.32,9.89,7.3,19.79,24.2,24.54,23.74,18.51,15.55,11.09,14.43
T2MDEW,2013,8.62,10.26,5.62,11.13,10.24,23.37,24.48,24.3,23.93,21.38,15.17,12.1,15.9
T2MDEW,2014,12.51,11.06,13.55,11.3,13.33,19.83,23.39,24.26,23.22,20.2,13.98,9.1,16.34
T2MDEW,2015,8.39,8.21,10.63,12.86,12.14,21.98,24.27,24.37,23.44,20.02,16.54,11.22,16.21
T2MDEW,2016,6.31,8.37,8.23,8.58,15.84,21.67,24.25,24.13,24.21,19.15,13.37,10.01,15.37
T2MDEW,2017,9.27,6.13,4.52,2.62,12.49,21.98,24.03,24.31,24.06,21.49,15.24,9.9,14.73
T2MDEW,2018,4.37,7.59,4.08,11.19,15.48,21.77,23.77,24.25,22.9,18.98,14.21,9.68,14.89
T2MDEW,2019,5.69,7.17,8.63,7.48,10.06,20.76,24.22,24.46,24.58,21.36,16.69,13.03,15.39
T2MDEW,2020,11.05,10.69,16.62,14.08,17.18,23.18,24.57,24.76,24.3,21.56,15.93,11.11,17.94
GWETTOP,2011,0.64,0.55,0.3,0.48,0.38,0.59,0.8,0.92,0.96,0.84,0.71,0.62,0.65
GWETTOP,2012,0.62,0.52,0.25,0.27,0.19,0.5,0.86,0.95,0.94,0.85,0.76,0.65,0.62
GWETTOP,2013,0.57,0.45,0.26,0.34,0.19,0.7,0.89,0.95,0.93,0.92,0.84,0.74,0.65
GWETTOP,2014,0.66,0.59,0.55,0.37,0.24,0.45,0.74,0.91,0.92,0.86,0.77,0.66,0.64
GWETTOP,2015,0.61,0.48,0.38,0.34,0.23,0.59,0.84,0.89,0.91,0.81,0.68,0.59,0.62
GWETTOP,2016,0.49,0.28,0.3,0.19,0.34,0.51,0.81,0.91,0.92,0.91,0.8,0.7,0.59
GWETTOP,2017,0.61,0.46,0.3,0.15,0.21,0.55,0.81,0.89,0.91,0.88,0.77,0.66,0.6
GWETTOP,2018,0.57,0.47,0.23,0.35,0.33,0.55,0.78,0.89,0.91,0.77,0.62,0.6,0.59
GWETTOP,2019,0.58,0.48,0.34,0.23,0.18,0.48,0.77,0.91,0.95,0.91,0.84,0.75,0.62
GWETTOP,2020,0.7,0.66,0.65,0.48,0.54,0.73,0.89,0.93,0.93,0.88,0.77,0.67,0.73
T2M_MAX,2011,30.29,33.18,41.2,40.6,45.14,43.6,34.87,31.83,31.16,30.94,28.53,28.75,45.14
T2M_MAX,2012,28.24,36.23,40.59,42.93,46.87,47.64,34.6,31.49,30.99,31.79,28.7,28.55,47.64
T2M_MAX,2013,30.77,35.69,40.6,44.78,48.45,43.87,33.68,31.38,30.77,30.24,28.05,25.8,48.45
T2M_MAX,2014,27.52,32.4,41.08,43.46,48.01,47.55,42.05,31.38,31.99,31.2,28.69,27.24,48.01
T2M_MAX,2015,28.9,36.4,39.8,43.48,47.46,44.84,34.31,33.12,32.09,32.15,30.19,30.72,47.46
T2M_MAX,2016,33.94,38.09,41.83,46.51,45.76,44.48,36.05,32.19,31.08,30.68,28.28,26.73,46.51
T2M_MAX,2017,30.8,36.71,44.33,46.0,47.54,44.6,35.52,32.11,32.11,32.01,28.42,27.4,47.54
T2M_MAX,2018,31.66,36.42,41.8,44.28,45.65,42.69,36.15,31.98,31.85,32.11,31.48,29.12,45.65
T2M_MAX,2019,29.98,36.99,42.96,46.07,46.33,46.33,34.15,32.4,31.29,29.42,28.76,25.76,46.33
T2M_MAX,2020,27.98,30.87,36.38,42.55,44.25,38.98,33.26,32.98,32.02,31.1,28.79,27.52,44.25
