-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  15.29   Longitude 74.12 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 445.96 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,9.4,9.4,10.31,13.43,15.38,17.88,17.88,17.82,17.46,17.03,13.24,9.83,14.1
QV2M,2012,8.67,7.51,9.7,14.34,14.83,17.4,17.94,17.76,17.4,15.69,13.67,10.86,13.85
QV2M,2013,8.54,9.58,10.44,12.76,16.24,18.19,17.88,17.4,17.46,16.78,13.49,9.52,14.04
QV2M,2014,9.77,9.7,10.19,12.88,15.93,18.31,18.19,17.88,17.7,16.6,13.31,11.66,14.34
QV2M,2015,9.16,8.24,12.02,13.06,16.6,18.01,18.07,17.94,17.4,16.78,14.53,11.05,14.47
QV2M,2016,8.36,10.38,11.35,13.37,15.87,17.88,18.13,17.64,16.97,14.95,10.74,8.73,13.73
QV2M,2017,7.75,7.69,10.56,12.76,16.05,18.13,18.07,17.94,18.07,17.09,13.18,10.62,14.04
QV2M,2018,8.18,6.77,10.44,12.63,16.48,18.8,18.01,17.27,16.66,15.38,11.96,9.77,13.55
QV2M,2019,6.71,8.12,10.13,12.94,14.34,17.76,18.74,18.31,17.88,17.7,15.62,14.28,14.4
QV2M,2020,11.72,9.7,11.54,13.92,16.3,18.43,18.31,18.37,17.94,17.52,15.38,12.57,15.14
T2MDEW,2011,11.98,11.96,12.9,17.37,19.85,22.44,22.42,22.43,22.07,21.71,17.33,12.41,17.94
T2MDEW,2012,10.25,8.39,11.75,18.65,19.33,22.01,22.53,22.39,22.05,20.26,17.78,14.23,17.49
T2MDEW,2013,10.29,12.17,13.23,16.63,20.78,22.76,22.49,22.05,22.1,21.42,17.8,12.13,17.84
T2MDEW,2014,12.82,12.31,13.17,16.74,20.41,22.86,22.75,22.5,22.33,21.19,17.54,15.44,18.37
T2MDEW,2015,11.46,9.65,15.8,17.05,21.14,22.55,22.66,22.55,22.07,21.41,18.95,13.95,18.32
T2MDEW,2016,10.08,13.4,14.8,17.44,20.2,22.48,22.73,22.29,21.68,19.48,13.82,10.2,17.39
T2MDEW,2017,8.83,8.32,13.3,16.48,20.51,22.69,22.68,22.55,22.63,21.69,17.39,13.84,17.62
T2MDEW,2018,9.6,6.4,12.99,16.42,20.88,23.26,22.6,21.95,21.35,19.79,15.61,12.29,16.99
T2MDEW,2019,6.62,9.64,12.65,16.85,18.64,22.33,23.24,22.9,22.52,22.35,20.25,18.87,18.12
T2MDEW,2020,15.62,12.56,15.19,18.15,20.76,22.94,22.85,22.94,22.51,22.09,20.0,16.8,19.39
GWETTOP,2011,0.55,0.37,0.19,0.32,0.35,0.66,0.87,0.93,0.92,0.83,0.65,0.48,0.59
GWETTOP,2012,0.27,0.17,0.13,0.38,0.32,0.67,0.88,0.9,0.88,0.8,0.63,0.48,0.55
GWETTOP,2013,0.26,0.23,0.18,0.2,0.44,0.76,0.92,0.92,0.9,0.87,0.7,0.52,0.58
GWETTOP,2014,0.34,0.2,0.23,0.23,0.47,0.69,0.86,0.94,0.91,0.85,0.76,0.58,0.59
GWETTOP,2015,0.45,0.23,0.35,0.34,0.45,0.73,0.86,0.88,0.86,0.78,0.59,0.44,0.58
GWETTOP,2016,0.23,0.16,0.17,0.25,0.35,0.72,0.95,0.93,0.88,0.81,0.59,0.44,0.54
GWETTOP,2017,0.22,0.16,0.13,0.13,0.38,0.7,0.86,0.87,0.89,0.88,0.73,0.53,0.54
GWETTOP,2018,0.36,0.19,0.22,0.26,0.43,0.83,0.93,0.89,0.84,0.74,0.53,0.4,0.55
GWETTOP,2019,0.19,0.16,0.17,0.3,0.23,0.57,0.94,0.95,0.94,0.92,0.86,0.67,0.58
GWETTOP,2020,0.51,0.32,0.27,0.34,0.36,0.79,0.95,0.96,0.95,0.93,0.81,0.61,0.65
T2M_MAX,2011,33.15,36.15,40.88,39.82,38.63,30.89,28.29,27.33,29.45,29.88,32.01,33.86,40.88
T2M_MAX,2012,35.12,39.08,40.82,39.82,40.27,35.86,27.88,29.21,29.33,30.52,31.96,33.17,40.82
T2M_MAX,2013,35.44,37.67,40.33,41.52,38.38,31.04,26.94,29.08,29.41,30.43,30.05,32.58,41.52
T2M_MAX,2014,34.24,36.85,40.9,40.81,39.86,36.05,29.52,31.26,29.73,30.36,29.74,30.6,40.9
T2M_MAX,2015,34.27,37.33,39.83,40.94,39.65,33.73,28.63,29.98,30.51,31.19,32.89,34.98,40.94
T2M_MAX,2016,37.15,39.83,41.65,42.2,40.91,36.46,27.5,27.98,29.11,29.77,34.37,34.21,42.2
T2M_MAX,2017,36.29,39.56,40.25,41.76,40.91,33.32,28.17,28.81,30.73,30.32,29.86,31.6,41.76
T2M_MAX,2018,34.75,37.8,40.65,41.6,40.63,32.9,27.18,27.41,30.91,30.78,33.73,34.37,41.6
T2M_MAX,2019,34.75,39.35,40.94,41.92,42.39,36.94,28.06,27.89,29.28,29.4,29.5,30.95,42.39
T2M_MAX,2020,33.87,37.74,40.01,40.8,41.94,31.78,29.17,27.87,31.06,29.69,28.94,30.9,41.94
T2M_MIN,2011,11.35,13.9,18.32,16.92,22.07,21.86,19.46,20.3,18.87,18.99,14.37,13.06,11.35
T2M_MIN,2012,13.36,16.71,13.78,20.01,20.79,20.81,21.01,20.8,19.21,17.23,11.95,14.47,11.95
T2M_MIN,2013,15.66,15.96,18.12,17.94,21.79,22.15,20.92,20.86,20.56,16.5,14.01,12.02,12.02
T2M_MIN,2014,15.63,15.05,14.52,19.51,20.51,22.16,21.71,20.55,20.44,15.26,13.05,12.66,12.66
T2M_MIN,2015,10.77,15.52,13.84,19.26,23.05,21.01,21.19,21.0,20.46,18.3,16.23,14.01,10.77
T2M_MIN,2016,15.36,16.3,17.22,20.26,21.21,21.23,21.28,20.75,19.15,15.47,13.19,11.96,11.96
T2M_MIN,2017,13.76,16.14,15.61,20.58,21.56,21.94,21.65,20.51,20.66,16.97,13.84,13.39,13.39
T2M_MIN,2018,14.01,15.54,18.41,19.19,22.28,21.37,21.35,21.03,18.69,15.24,14.91,13.73,13.73
T2M_MIN,2019,13.48,14.84,15.54,19.75,21.02,21.93,21.8,21.08,20.9,20.23,15.68,16.58,13.48
T2M_MIN,2020,13.18,14.18,16.75,19.37,23.14,21.41,21.29,21.23,20.66,17.96,13.9,13.83,13.18
GWETPROF,2011,0.56,0.48,0.45,0.45,0.45,0.62,0.84,0.94,0.94,0.81,0.64,0.52,0.64
GWETPROF,2012,0.46,0.45,0.45,0.46,0.45,0.64,0.88,0.9,0.89,0.78,0.62,0.51,0.62
GWETPROF,2013,0.46,0.45,0.45,0.45,0.46,0.7,0.91,0.94,0.91,0.87,0.69,0.54,0.66
GWETPROF,2014,0.47,0.45,0.45,0.45,0.49,0.63,0.83,0.95,0.92,0.84,0.73,0.59,0.65
GWETPROF,2015,0.5,0.45,0.46,0.45,0.48,0.68,0.84,0.87,0.85,0.77,0.59,0.49,0.62
GWETPROF,2016,0.45,0.45,0.45,0.45,0.45,0.66,0.95,0.95,0.88,0.8,0.6,0.49,0.63
GWETPROF,2017,0.45,0.45,0.45,0.45,0.45,0.64,0.84,0.86,0.89,0.89,0.7,0.55,0.63
GWETPROF,2018,0.48,0.45,0.45,0.45,0.49,0.78,0.93,0.9,0.83,0.72,0.55,0.48,0.62
GWETPROF,2019,0.45,0.45,0.45,0.45,0.45,0.55,0.93,0.97,0.95,0.93,0.86,0.66,0.68
GWETPROF,2020,0.53,0.47,0.45,0.45,0.45,0.73,0.95,0.98,0.97,0.95,0.8,0.61,0.7
GWETROOT,2011,0.56,0.47,0.45,0.45,0.45,0.63,0.86,0.96,0.96,0.83,0.64,0.51,0.65
GWETROOT,2012,0.45,0.45,0.44,0.46,0.45,0.66,0.9,0.92,0.91,0.8,0.63,0.51,0.63
GWETROOT,2013,0.45,0.45,0.44,0.44,0.46,0.73,0.93,0.96,0.93,0.89,0.7,0.53,0.66
GWETROOT,2014,0.46,0.45,0.45,0.45,0.5,0.66,0.84,0.98,0.94,0.85,0.73,0.59,0.66
GWETROOT,2015,0.49,0.45,0.45,0.45,0.48,0.7,0.87,0.89,0.88,0.78,0.59,0.49,0.62
GWETROOT,2016,0.45,0.45,0.44,0.45,0.45,0.68,0.97,0.97,0.9,0.81,0.6,0.49,0.64
GWETROOT,2017,0.45,0.44,0.44,0.44,0.45,0.66,0.86,0.88,0.91,0.91,0.71,0.55,0.64
GWETROOT,2018,0.47,0.45,0.45,0.45,0.49,0.8,0.95,0.92,0.84,0.73,0.55,0.47,0.63
GWETROOT,2019,0.45,0.44,0.44,0.45,0.44,0.57,0.95,0.98,0.98,0.95,0.88,0.66,0.69
GWETROOT,2020,0.52,0.46,0.45,0.45,0.45,0.76,0.96,0.99,0.98,0.97,0.81,0.61,0.7
WS2M_MAX,2011,2.31,2.5,2.74,2.6,2.72,4.06,3.98,3.67,3.36,2.62,3.29,2.91,4.06
WS2M_MAX,2012,2.69,2.43,2.74,2.73,2.87,3.59,3.59,3.71,3.2,2.43,1.98,3.23,3.71
WS2M_MAX,2013,2.43,2.46,2.59,2.87,2.71,3.97,4.12,4.16,2.88,2.67,2.69,2.71,4.16
WS2M_MAX,2014,2.75,2.7,2.65,2.53,2.3,3.66,4.34,3.6,3.16,2.44,2.63,2.57,4.34
WS2M_MAX,2015,2.55,2.65,2.86,2.57,2.7,4.61,4.11,3.47,2.55,1.92,2.8,2.97,4.61
WS2M_MAX,2016,3.27,2.64,2.6,2.89,2.76,3.47,3.98,3.75,3.02,2.41,2.47,3.0,3.98
