-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  22.25   Longitude 71.19 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 118.29 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,5.31,6.1,6.16,7.93,13.85,16.66,19.1,19.59,18.55,14.1,10.44,5.0,11.96
QV2M,2012,4.21,3.48,5.55,9.64,13.31,16.6,18.07,17.33,18.37,12.02,6.59,5.74,10.93
QV2M,2013,3.42,4.88,5.68,10.44,12.94,18.74,19.35,18.49,18.01,15.32,9.22,5.98,11.9
QV2M,2014,4.58,5.49,6.41,9.16,12.33,15.69,18.07,18.68,17.82,13.18,10.13,3.72,11.29
QV2M,2015,5.07,6.04,7.14,10.19,13.06,17.94,18.55,18.13,16.48,11.84,6.84,3.05,11.23
QV2M,2016,4.64,4.21,7.02,10.13,13.61,16.36,18.43,18.49,16.72,13.79,6.41,4.82,11.23
QV2M,2017,4.46,4.46,6.16,8.67,12.39,18.62,19.17,19.04,18.01,13.0,6.9,5.86,11.41
QV2M,2018,4.33,5.25,6.71,9.46,12.27,16.42,18.74,17.82,15.44,9.64,5.68,3.6,10.5
QV2M,2019,3.54,5.13,6.29,8.85,12.45,16.72,18.43,19.23,20.14,16.36,13.73,8.67,12.51
QV2M,2020,6.53,5.0,6.96,9.4,13.12,18.8,20.14,20.45,19.35,15.56,9.22,7.39,12.7
T2MDEW,2011,3.94,5.68,5.23,8.34,18.41,21.69,24.05,24.51,23.58,19.14,14.44,2.56,14.34
T2MDEW,2012,-0.02,-3.96,2.33,12.54,17.67,21.65,23.11,22.45,23.44,16.33,7.38,4.51,12.33
T2MDEW,2013,-3.0,2.35,3.26,13.5,16.9,23.67,24.3,23.59,23.14,20.27,12.48,5.43,13.87
T2MDEW,2014,1.9,4.1,5.52,11.37,16.39,20.58,23.08,23.75,22.99,17.87,13.61,-0.92,13.39
T2MDEW,2015,2.61,4.96,7.93,13.27,17.01,22.87,23.62,23.29,21.62,15.77,7.32,-4.14,13.04
T2MDEW,2016,1.36,-0.7,7.39,13.19,17.99,21.35,23.51,23.58,21.96,18.46,6.83,2.68,13.18
T2MDEW,2017,0.8,0.49,4.28,9.12,16.33,23.64,24.15,24.07,23.16,17.55,7.89,4.75,13.09
T2MDEW,2018,0.69,3.62,6.57,11.44,16.05,21.52,23.73,22.99,20.56,12.58,4.46,-2.21,11.87
T2MDEW,2019,-2.24,1.94,5.76,11.04,16.48,21.58,23.47,24.21,25.03,21.67,18.79,11.24,14.98
T2MDEW,2020,7.14,3.32,7.38,12.06,17.31,23.71,24.94,25.19,24.33,20.5,12.51,8.56,15.62
GWETTOP,2011,0.53,0.28,0.17,0.12,0.11,0.26,0.74,0.88,0.91,0.76,0.61,0.36,0.48
GWETTOP,2012,0.23,0.17,0.13,0.12,0.12,0.35,0.56,0.54,0.78,0.61,0.36,0.22,0.35
