-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  29.05   Longitude 76.08 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 220.73 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,3.72,5.68,5.25,6.29,9.46,14.77,18.19,19.29,18.43,10.19,7.39,3.91,10.25
QV2M,2012,3.6,2.87,3.17,7.14,6.53,9.7,15.99,18.25,16.48,8.12,4.64,3.54,8.36
QV2M,2013,3.42,5.98,6.41,6.29,5.43,14.16,19.23,19.78,15.81,12.08,5.74,4.15,9.89
QV2M,2014,4.46,4.82,5.92,6.1,8.48,10.99,15.01,15.14,14.59,7.75,4.03,3.48,8.42
QV2M,2015,4.39,4.64,7.63,9.22,6.41,12.45,18.43,18.07,11.96,7.45,5.55,2.87,9.09
QV2M,2016,3.17,2.99,5.8,5.37,8.79,13.43,19.29,19.47,14.22,7.75,3.48,3.11,8.91
QV2M,2017,4.46,4.76,4.7,5.19,7.93,14.47,18.62,17.7,13.18,6.47,4.46,3.72,8.85
QV2M,2018,3.05,3.97,4.27,6.16,7.26,14.34,19.41,18.74,15.99,9.64,6.16,3.78,9.4
QV2M,2019,3.97,5.19,5.43,7.08,8.42,10.74,18.19,19.59,17.52,10.31,7.69,4.76,9.95
QV2M,2020,5.37,5.37,8.36,9.09,9.52,14.22,19.04,21.0,16.6,6.96,4.76,4.27,10.38
T2MDEW,2011,-0.68,4.88,3.7,6.24,11.87,19.25,22.93,24.01,23.16,13.44,8.98,-0.87,11.43
