-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  31.1   Longitude 77.17 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 897.65 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,3.72,5.13,5.31,6.35,8.06,14.28,17.82,18.62,16.42,10.19,6.9,4.09,9.77
QV2M,2012,4.15,4.15,4.03,6.77,5.55,7.45,17.27,18.19,16.11,9.03,5.49,4.33,8.54
QV2M,2013,3.91,6.23,6.96,7.26,5.74,13.85,19.1,18.74,15.62,11.84,5.74,4.46,9.95
QV2M,2014,4.58,5.31,6.65,7.2,8.61,9.89,15.01,15.62,15.99,10.31,5.49,3.66,9.03
QV2M,2015,4.21,5.37,7.81,9.16,7.87,11.17,18.31,18.13,13.18,9.28,6.29,4.21,9.64
QV2M,2016,4.03,4.33,6.77,7.2,9.34,13.43,17.7,18.31,15.2,8.24,4.39,3.36,9.4
QV2M,2017,4.64,5.25,5.86,6.65,9.16,13.37,17.82,18.68,15.01,8.67,5.68,4.33,9.58
QV2M,2018,3.3,4.39,5.31,7.02,7.08,13.98,18.86,18.86,15.99,10.07,7.14,4.58,9.77
QV2M,2019,4.64,5.92,7.02,8.42,8.18,10.07,17.15,18.62,16.78,9.89,6.96,4.21,9.83
QV2M,2020,4.88,5.37,7.57,9.16,9.89,13.31,17.88,19.65,15.69,7.26,4.88,3.97,10.01
T2MDEW,2011,-1.92,2.43,2.99,5.36,8.64,17.53,21.4,22.16,20.05,12.37,6.79,-1.0,9.76
T2MDEW,2012,-0.56,-0.48,-1.12,6.54,3.55,7.4,20.79,21.8,19.65,10.72,3.44,0.02,7.67
T2MDEW,2013,-1.31,5.28,7.0,7.41,3.78,16.65,22.49,22.26,19.37,14.58,4.26,0.5,10.21
T2MDEW,2014,0.89,3.05,6.4,7.49,10.02,11.4,18.57,19.19,19.73,12.69,3.38,-2.23,9.25
T2MDEW,2015,-0.38,3.12,8.65,11.05,8.44,13.73,21.83,21.73,16.62,11.12,5.58,-0.18,10.15
