-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  33.77   Longitude 76.57 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4452.1 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,0.92,1.34,1.89,2.38,3.23,4.52,5.8,5.62,4.7,2.2,1.65,0.98,2.93
QV2M,2012,0.92,1.28,1.65,2.62,3.11,4.21,5.98,6.71,5.13,2.38,1.53,1.22,3.05
QV2M,2013,1.04,1.53,2.08,2.81,3.36,4.88,5.74,7.26,4.03,2.5,1.4,1.16,3.17
QV2M,2014,1.16,1.34,1.95,2.69,3.72,4.27,6.53,5.55,4.94,2.87,1.65,1.1,3.17
QV2M,2015,1.1,1.65,2.01,2.99,3.97,4.94,7.57,6.59,4.09,2.62,2.01,1.34,3.42
QV2M,2016,1.22,1.4,2.38,3.17,4.39,6.16,6.96,7.02,4.46,2.32,1.59,1.16,3.54
QV2M,2017,1.34,1.65,2.08,3.17,4.52,5.13,7.69,6.53,4.27,2.32,1.46,1.28,3.48
QV2M,2018,1.1,1.4,1.77,2.81,3.36,4.88,7.02,6.77,4.7,2.5,1.71,1.04,3.3
QV2M,2019,1.16,1.34,1.83,3.42,3.85,4.76,6.59,6.65,4.15,2.69,1.83,0.92,3.3
QV2M,2020,0.98,1.34,1.95,2.99,4.15,5.43,6.65,7.14,4.52,2.2,1.65,1.16,3.36
T2MDEW,2011,-22.68,-18.91,-15.36,-12.63,-9.27,-5.14,-1.81,-2.26,-4.97,-13.57,-16.86,-21.64,-12.06
T2MDEW,2012,-22.46,-19.47,-16.76,-11.13,-9.29,-5.79,-1.32,0.33,-3.61,-12.38,-17.42,-19.67,-11.56
T2MDEW,2013,-21.34,-17.81,-13.95,-10.4,-8.47,-4.06,-2.07,1.51,-6.58,-12.52,-18.23,-20.43,-11.16
T2MDEW,2014,-20.22,-18.83,-14.68,-11.01,-7.11,-5.79,-0.03,-2.56,-3.96,-10.19,-16.33,-20.93,-10.92
T2MDEW,2015,-20.34,-16.63,-14.51,-9.74,-6.43,-3.64,1.9,-0.24,-6.2,-11.31,-14.06,-19.28,-10.0
T2MDEW,2016,-19.85,-18.46,-12.69,-9.13,-5.13,-0.78,0.75,1.08,-5.27,-13.27,-16.92,-20.39,-9.99
