-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  23.61   Longitude 85.27 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 608.5 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,5.13,6.1,5.13,8.73,12.39,16.97,19.23,19.41,18.74,14.22,10.38,7.26,12.02
QV2M,2012,7.51,6.47,5.19,8.0,8.36,13.79,19.29,19.29,18.13,12.45,9.52,6.71,11.23
QV2M,2013,5.68,6.71,6.04,8.06,10.01,18.25,19.29,18.92,18.31,15.87,9.7,7.93,12.08
QV2M,2014,7.57,7.81,8.61,7.2,10.62,16.3,19.41,19.23,17.82,13.98,7.75,5.25,11.84
QV2M,2015,6.47,6.47,7.26,10.13,10.93,15.87,19.47,19.53,17.7,13.0,9.64,7.08,11.96
QV2M,2016,5.19,6.71,6.71,5.98,11.9,16.3,19.1,19.23,18.92,14.16,9.52,7.39,11.78
QV2M,2017,6.59,5.74,5.55,6.77,11.11,16.42,19.23,19.71,18.86,15.62,10.01,6.96,11.9
QV2M,2018,4.27,5.74,4.82,8.73,12.02,16.3,19.35,19.65,18.07,13.24,9.4,6.35,11.54
QV2M,2019,5.31,6.53,7.14,7.87,8.48,15.38,19.47,19.65,18.8,15.08,11.47,8.48,12.02
QV2M,2020,7.39,7.02,10.31,10.07,11.9,18.13,19.65,20.02,19.04,16.3,10.13,7.57,13.18
T2MDEW,2011,2.67,5.44,2.54,9.69,15.75,20.9,23.26,23.4,22.86,18.33,13.65,7.76,13.89
T2MDEW,2012,8.3,5.76,2.6,9.29,9.33,17.17,23.29,23.3,22.3,16.11,11.83,6.47,12.99
T2MDEW,2013,3.9,6.91,5.02,8.99,11.65,22.34,23.28,23.03,22.55,20.05,12.55,9.51,14.19
T2MDEW,2014,8.63,8.86,10.58,7.76,13.09,20.26,23.37,23.25,22.06,18.08,8.77,3.33,14.04
T2MDEW,2015,5.79,6.33,7.63,12.78,13.51,19.88,23.47,23.54,21.92,16.91,12.44,7.02,14.3
T2MDEW,2016,3.02,6.25,6.36,4.97,14.86,20.43,23.14,23.23,23.04,18.09,12.04,8.32,13.67
T2MDEW,2017,6.64,4.36,3.64,5.73,13.83,20.4,23.23,23.67,22.98,19.71,12.49,7.21,13.72
T2MDEW,2018,0.49,4.58,1.57,9.95,15.17,20.4,23.29,23.61,22.28,17.24,11.78,5.87,13.05
T2MDEW,2019,3.3,6.23,7.55,8.65,9.8,19.24,23.44,23.62,22.94,19.43,15.12,10.26,14.17
T2MDEW,2020,8.26,7.47,13.4,12.82,15.37,22.19,23.65,23.9,23.14,20.44,13.04,8.57,16.05
GWETTOP,2011,0.48,0.41,0.21,0.28,0.38,0.58,0.87,0.93,0.94,0.86,0.74,0.61,0.61
GWETTOP,2012,0.59,0.5,0.36,0.3,0.28,0.34,0.71,0.91,0.92,0.84,0.77,0.63,0.59
GWETTOP,2013,0.53,0.48,0.34,0.33,0.25,0.62,0.73,0.84,0.88,0.93,0.84,0.74,0.62
GWETTOP,2014,0.64,0.55,0.54,0.32,0.3,0.5,0.76,0.84,0.85,0.77,0.61,0.5,0.6
GWETTOP,2015,0.49,0.41,0.32,0.38,0.38,0.5,0.88,0.91,0.84,0.7,0.55,0.48,0.57
GWETTOP,2016,0.41,0.32,0.33,0.15,0.33,0.44,0.76,0.89,0.92,0.87,0.74,0.61,0.56
GWETTOP,2017,0.52,0.39,0.27,0.2,0.3,0.48,0.82,0.94,0.9,0.86,0.73,0.59,0.59
GWETTOP,2018,0.5,0.41,0.22,0.3,0.38,0.47,0.71,0.88,0.91,0.79,0.61,0.55,0.56
GWETTOP,2019,0.5,0.47,0.43,0.31,0.29,0.44,0.7,0.84,0.88,0.89,0.84,0.76,0.61
GWETTOP,2020,0.71,0.59,0.59,0.48,0.45,0.67,0.85,0.94,0.92,0.9,0.79,0.66,0.71
T2M_MAX,2011,27.47,31.48,38.25,39.68,41.64,40.28,31.58,31.3,29.4,28.94,25.36,26.15,41.64
T2M_MAX,2012,24.35,31.12,37.44,39.89,42.73,43.48,34.75,29.65,29.87,28.82,25.75,25.3,43.48
T2M_MAX,2013,26.78,30.7,36.68,41.53,42.92,36.42,31.66,29.76,30.01,28.05,26.25,23.37,42.92
T2M_MAX,2014,23.31,27.99,35.86,41.63,42.0,41.95,32.65,31.03,30.1,28.93,26.87,26.23,42.0
