-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  15.31   Longitude 75.71 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 608.06 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,8.24,7.81,7.45,11.96,13.73,15.87,15.69,16.17,15.75,15.2,11.05,8.54,12.33
QV2M,2012,7.08,6.41,6.65,12.39,13.37,15.01,15.81,15.81,15.5,13.61,12.63,10.19,12.02
QV2M,2013,7.51,8.18,8.67,10.8,15.26,16.48,16.05,15.81,16.36,15.38,11.9,7.87,12.57
QV2M,2014,8.73,8.24,8.85,11.29,14.89,16.36,16.05,16.42,16.42,14.65,11.54,10.5,12.88
QV2M,2015,7.39,6.41,9.64,11.23,14.59,16.05,15.93,16.24,16.42,14.59,13.0,9.77,12.63
QV2M,2016,7.93,8.54,8.79,11.41,14.22,16.11,16.48,16.24,15.5,12.7,8.24,7.26,11.96
QV2M,2017,6.84,5.55,7.81,9.58,13.79,16.05,16.17,16.17,16.72,15.93,12.21,9.52,12.21
QV2M,2018,6.71,5.86,8.06,10.99,14.95,17.03,16.17,15.69,14.95,12.82,10.01,8.79,11.84
QV2M,2019,6.29,7.08,7.75,10.86,12.15,16.17,16.91,16.91,16.85,16.66,14.71,13.31,13.0
QV2M,2020,10.68,8.42,9.16,12.76,15.5,16.3,16.78,17.21,17.09,16.54,14.59,11.9,13.92
T2MDEW,2011,9.43,8.67,7.99,15.01,17.61,20.2,20.01,20.55,20.08,19.52,14.15,9.84,15.29
T2MDEW,2012,6.9,5.93,5.81,15.96,17.18,19.3,20.16,20.15,19.78,17.61,16.2,12.98,14.84
T2MDEW,2013,8.21,9.44,10.29,13.42,19.51,20.77,20.41,20.15,20.71,19.69,15.44,8.83,15.6
T2MDEW,2014,10.92,9.45,10.71,14.29,19.04,20.62,20.42,20.76,20.83,18.88,15.01,13.52,16.25
T2MDEW,2015,7.82,5.82,12.07,14.46,18.62,20.4,20.31,20.62,20.8,18.81,16.87,11.97,15.77
T2MDEW,2016,9.19,10.3,10.62,14.6,18.08,20.44,20.86,20.59,19.88,16.46,9.21,6.83,14.76
T2MDEW,2017,6.76,3.93,8.6,11.46,17.75,20.4,20.54,20.54,21.12,20.26,15.94,11.79,14.99
T2MDEW,2018,6.59,4.38,8.65,13.95,18.95,21.31,20.54,20.06,19.26,16.56,12.39,10.41,14.48
T2MDEW,2019,5.65,7.35,8.37,13.83,15.51,20.48,21.22,21.28,21.21,21.06,19.02,17.48,16.08
T2MDEW,2020,13.76,10.07,11.33,16.49,19.69,20.6,21.12,21.55,21.4,20.9,18.9,15.7,17.65
GWETTOP,2011,0.49,0.27,0.18,0.39,0.43,0.6,0.64,0.71,0.7,0.66,0.48,0.3,0.48
GWETTOP,2012,0.19,0.16,0.12,0.41,0.47,0.55,0.59,0.65,0.64,0.64,0.66,0.44,0.46
GWETTOP,2013,0.24,0.23,0.22,0.25,0.59,0.68,0.68,0.67,0.75,0.7,0.59,0.34,0.5
