-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  10.85   Longitude 76.27 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 370.89 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,13.18,12.63,13.37,16.42,17.7,18.01,17.03,17.27,17.33,17.09,15.5,13.61,15.81
QV2M,2012,12.27,10.8,14.04,16.97,17.94,17.52,17.76,17.27,17.21,17.03,15.5,13.85,15.69
QV2M,2013,11.9,12.82,14.65,15.99,17.58,17.88,17.33,17.46,17.27,17.27,16.42,13.37,15.87
QV2M,2014,12.21,12.57,12.21,17.03,18.49,18.8,18.01,17.52,17.82,17.33,15.75,14.89,16.05
QV2M,2015,12.57,11.47,14.34,17.03,18.25,18.13,17.88,17.82,17.64,17.27,16.66,15.14,16.24
QV2M,2016,12.63,13.18,15.01,17.09,18.55,18.07,17.76,17.52,16.91,16.3,14.47,13.37,15.93
QV2M,2017,11.96,10.8,14.77,17.03,18.43,18.19,17.88,17.88,18.13,17.58,16.6,14.34,16.17
QV2M,2018,12.57,11.54,13.73,17.4,18.55,18.13,17.94,17.4,17.09,17.03,16.36,14.83,16.05
QV2M,2019,10.8,12.63,14.04,16.72,17.94,18.55,17.88,17.76,17.94,17.7,17.52,15.93,16.3
QV2M,2020,14.16,12.88,14.89,16.48,18.74,17.94,17.82,18.07,17.64,17.33,16.78,15.01,16.48
T2MDEW,2011,17.61,16.65,17.42,21.04,22.43,22.73,21.78,22.07,22.12,21.9,20.22,17.91,20.34
T2MDEW,2012,16.33,13.73,18.37,21.62,22.64,22.25,22.47,22.04,22.02,21.83,20.22,18.36,20.18
T2MDEW,2013,15.76,16.8,18.98,20.66,22.28,22.6,22.09,22.23,22.04,22.09,21.23,17.81,20.4
T2MDEW,2014,16.36,16.67,15.73,21.59,23.13,23.4,22.7,22.26,22.59,22.12,20.48,19.58,20.57
T2MDEW,2015,16.83,15.06,18.7,21.73,22.9,22.83,22.59,22.59,22.4,22.03,21.46,19.81,20.78
T2MDEW,2016,16.8,17.3,19.48,21.74,23.18,22.76,22.48,22.28,21.73,21.11,18.98,17.66,20.47
T2MDEW,2017,15.87,13.81,19.05,21.71,23.05,22.88,22.6,22.62,22.82,22.35,21.38,18.9,20.62
T2MDEW,2018,16.8,15.08,17.59,22.02,23.22,22.8,22.68,22.15,21.87,21.82,21.13,19.52,20.58
T2MDEW,2019,14.23,16.63,18.3,21.24,22.63,23.2,22.58,22.51,22.66,22.44,22.27,20.78,20.8
T2MDEW,2020,18.73,17.07,19.41,20.99,23.3,22.65,22.52,22.78,22.35,22.12,21.51,19.76,21.11
GWETTOP,2011,0.66,0.52,0.44,0.5,0.6,0.9,0.93,0.94,0.94,0.88,0.87,0.68,0.73
GWETTOP,2012,0.5,0.34,0.23,0.52,0.62,0.78,0.88,0.88,0.88,0.82,0.81,0.59,0.66
GWETTOP,2013,0.4,0.41,0.43,0.3,0.52,0.88,0.97,0.94,0.9,0.88,0.84,0.68,0.68
GWETTOP,2014,0.48,0.3,0.24,0.45,0.73,0.85,0.93,0.96,0.93,0.93,0.9,0.72,0.7
GWETTOP,2015,0.52,0.32,0.41,0.55,0.67,0.77,0.84,0.82,0.76,0.8,0.81,0.7,0.66
GWETTOP,2016,0.52,0.33,0.29,0.38,0.55,0.81,0.91,0.88,0.77,0.62,0.6,0.55,0.6
GWETTOP,2017,0.39,0.29,0.46,0.48,0.63,0.81,0.89,0.91,0.95,0.91,0.84,0.72,0.7
GWETTOP,2018,0.51,0.38,0.38,0.52,0.72,0.89,0.95,0.95,0.86,0.91,0.81,0.62,0.71
GWETTOP,2019,0.45,0.3,0.3,0.39,0.56,0.68,0.84,0.95,0.95,0.95,0.92,0.81,0.68
GWETTOP,2020,0.59,0.38,0.37,0.41,0.58,0.73,0.9,0.95,0.94,0.91,0.87,0.74,0.7
T2M_MAX,2011,32.3,33.97,36.56,36.91,34.47,28.45,27.47,27.4,28.67,29.44,29.06,31.5,36.91
T2M_MAX,2012,32.8,37.65,37.62,36.6,33.54,31.04,27.71,28.68,28.58,30.02,30.03,32.55,37.65
T2M_MAX,2013,34.44,35.83,37.19,38.98,35.5,28.71,26.72,28.96,28.76,29.16,29.19,30.38,38.98
T2M_MAX,2014,33.48,35.91,38.17,38.58,33.58,29.14,28.65,27.95,29.45,29.22,28.98,30.01,38.58
T2M_MAX,2015,33.76,35.15,36.78,35.72,33.45,30.7,28.44,29.51,30.43,30.91,29.21,32.15,36.78
T2M_MAX,2016,34.67,37.62,38.31,38.46,37.09,29.2,27.46,28.46,28.67,31.8,33.33,33.81,38.46
T2M_MAX,2017,34.41,37.22,37.23,36.87,35.46,29.2,28.37,28.98,29.65,28.94,29.2,30.34,37.23
T2M_MAX,2018,34.12,36.3,37.58,36.98,32.68,28.8,28.11,27.72,29.98,29.73,29.51,32.32,37.58
T2M_MAX,2019,33.76,37.52,39.12,39.17,36.12,33.45,29.23,27.84,29.39,29.48,29.68,29.75,39.17
T2M_MAX,2020,34.24,36.07,38.54,38.7,36.23,30.12,28.3,28.91,29.61,29.57,29.73,30.51,38.7
T2M_MIN,2011,16.42,16.1,18.12,22.5,22.46,20.48,20.42,20.59,20.73,20.51,16.71,14.7,14.7
T2M_MIN,2012,15.95,17.13,20.9,22.85,22.4,21.37,20.93,20.91,20.71,20.62,16.77,17.58,15.95
T2M_MIN,2013,18.58,17.23,19.04,22.45,22.28,21.65,21.12,21.0,20.69,20.58,18.69,16.44,16.44
T2M_MIN,2014,18.39,18.23,19.69,23.51,21.86,22.6,20.58,21.3,21.44,19.88,17.95,16.98,16.98
T2M_MIN,2015,16.06,18.58,20.16,22.0,22.47,21.74,20.81,21.18,21.26,20.82,17.92,17.3,16.06
