-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  22.97   Longitude 78.65 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 386.02 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,4.7,5.19,4.21,7.02,8.48,16.85,19.96,20.02,18.55,13.0,8.97,5.86,11.11
QV2M,2012,5.98,3.85,2.87,5.55,6.77,15.32,19.65,19.96,18.49,12.63,8.48,5.68,10.44
QV2M,2013,4.21,7.57,6.16,7.75,6.41,18.31,20.69,19.84,18.62,15.56,9.4,6.96,11.78
QV2M,2014,7.87,7.2,8.12,5.8,8.0,12.7,18.55,19.47,18.13,13.85,8.61,5.43,11.17
QV2M,2015,6.84,6.53,8.61,7.81,7.81,15.69,19.1,19.78,17.46,13.24,9.7,4.21,11.41
QV2M,2016,4.7,4.7,5.92,5.55,9.46,15.5,20.26,19.41,18.8,13.31,7.26,5.07,10.86
QV2M,2017,5.0,4.52,4.27,4.39,7.87,16.72,18.74,19.53,18.43,14.28,8.24,4.82,10.62
QV2M,2018,3.23,5.55,4.64,5.55,6.71,16.11,19.65,19.47,17.27,12.45,7.81,4.76,10.31
QV2M,2019,3.6,4.46,5.37,5.74,7.08,12.82,19.96,20.26,20.08,15.08,12.02,8.91,11.29
QV2M,2020,7.51,6.23,7.51,6.47,8.3,17.94,19.53,19.96,19.29,14.83,9.22,6.84,11.96
T2MDEW,2011,2.03,3.61,0.27,7.19,10.27,21.21,24.26,24.36,23.07,17.26,11.73,4.89,12.55
