-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  19.75   Longitude 75.71 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 560.87 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,6.1,5.86,4.76,7.14,10.44,16.24,17.09,17.52,17.03,14.1,9.89,5.98,11.05
QV2M,2012,5.25,4.03,3.17,6.65,9.64,15.01,17.33,16.85,16.97,13.67,9.83,6.77,10.44
QV2M,2013,5.86,7.08,4.88,7.08,10.13,17.09,17.15,16.97,17.15,15.5,11.54,8.73,11.6
QV2M,2014,8.54,6.65,9.4,7.2,9.7,14.1,16.72,17.27,16.48,13.24,10.07,6.35,11.35
QV2M,2015,6.84,5.31,8.91,8.97,10.25,16.05,16.42,16.66,16.11,13.49,9.64,5.0,11.17
QV2M,2016,4.33,5.62,6.53,7.08,11.17,15.38,17.7,17.21,16.91,13.31,8.12,5.86,10.8
QV2M,2017,4.94,4.64,4.7,5.25,9.4,17.33,16.97,16.78,17.52,14.22,9.83,7.32,10.8
QV2M,2018,4.58,5.25,5.55,6.16,8.85,16.24,16.97,16.48,15.08,10.31,7.63,5.13,9.89
QV2M,2019,3.54,5.07,4.7,5.98,8.48,14.59,17.7,17.52,17.94,15.99,13.31,11.41,11.35
QV2M,2020,8.85,7.14,7.87,7.26,9.77,17.27,18.43,18.37,18.49,16.42,12.21,9.58,12.63
T2MDEW,2011,5.46,4.78,1.4,7.64,13.22,20.58,21.4,21.85,21.4,18.29,12.76,4.91,12.84
T2MDEW,2012,2.59,-1.13,-3.92,6.88,12.13,19.19,21.66,21.23,21.37,17.81,12.21,6.79,11.43
T2MDEW,2013,4.27,7.38,1.76,7.5,12.73,21.4,21.51,21.35,21.57,19.86,15.21,10.66,13.79
T2MDEW,2014,10.39,6.3,11.6,7.72,12.38,18.2,21.07,21.65,20.95,17.24,12.84,5.48,13.87
T2MDEW,2015,6.81,3.51,11.06,10.73,12.91,20.19,20.82,21.06,20.57,17.64,12.42,2.21,13.38
T2MDEW,2016,0.37,3.83,5.9,7.64,14.26,19.59,22.01,21.58,21.33,17.19,9.78,4.51,12.36
T2MDEW,2017,2.4,1.51,1.54,2.52,11.65,21.65,21.36,21.15,21.92,18.19,12.71,7.67,12.08
T2MDEW,2018,1.15,3.14,4.08,5.33,10.9,20.56,21.33,20.88,19.49,13.26,8.13,2.34,10.92
T2MDEW,2019,-2.42,2.28,1.82,5.23,10.32,18.66,22.0,21.86,22.33,20.5,17.52,14.98,12.98
T2MDEW,2020,11.08,7.58,8.44,8.05,12.33,21.51,22.67,22.63,22.76,20.76,16.06,12.21,15.53
GWETTOP,2011,0.55,0.29,0.23,0.22,0.22,0.6,0.72,0.79,0.85,0.76,0.62,0.37,0.52
GWETTOP,2012,0.23,0.19,0.13,0.16,0.24,0.48,0.75,0.71,0.77,0.7,0.52,0.27,0.43
GWETTOP,2013,0.23,0.28,0.17,0.13,0.15,0.69,0.81,0.82,0.82,0.81,0.7,0.68,0.52
GWETTOP,2014,0.57,0.34,0.53,0.28,0.27,0.4,0.64,0.76,0.79,0.64,0.57,0.45,0.52
GWETTOP,2015,0.42,0.27,0.51,0.38,0.28,0.63,0.66,0.7,0.72,0.63,0.41,0.23,0.48
GWETTOP,2016,0.16,0.14,0.31,0.16,0.23,0.48,0.82,0.83,0.8,0.8,0.64,0.45,0.48
GWETTOP,2017,0.24,0.17,0.16,0.12,0.15,0.66,0.72,0.72,0.85,0.82,0.68,0.53,0.48
GWETTOP,2018,0.28,0.2,0.16,0.16,0.12,0.57,0.74,0.74,0.69,0.48,0.35,0.23,0.4
GWETTOP,2019,0.17,0.15,0.13,0.16,0.13,0.39,0.75,0.81,0.85,0.84,0.82,0.71,0.49
GWETTOP,2020,0.61,0.38,0.3,0.27,0.23,0.73,0.85,0.91,0.93,0.91,0.82,0.7,0.63
T2M_MAX,2011,32.05,34.02,39.26,42.26,42.83,39.52,35.1,32.12,30.5,30.61,32.05,33.01,42.83
T2M_MAX,2012,32.72,36.74,40.03,41.09,41.98,41.65,31.52,33.33,31.44,31.78,33.39,33.78,41.98
T2M_MAX,2013,34.0,35.97,39.09,42.94,43.37,39.98,32.01,30.9,30.79,29.85,29.82,28.12,43.37
T2M_MAX,2014,30.07,34.47,39.5,42.21,42.3,42.83,37.84,31.89,31.44,33.26,33.49,32.28,42.83
T2M_MAX,2015,31.41,35.51,39.08,42.14,43.66,41.4,35.69,33.78,33.72,34.48,34.05,33.95,43.66
T2M_MAX,2016,34.85,37.64,40.78,42.69,44.36,42.03,32.23,30.87,29.9,29.55,32.12,33.01,44.36
