-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  24.66   Longitude 93.9 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 869.25 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,7.08,7.08,8.85,11.23,15.26,17.82,17.88,17.64,17.33,14.71,10.19,8.06,12.82
QV2M,2012,6.59,5.37,8.12,12.39,15.01,17.7,18.01,18.25,17.82,15.32,11.9,8.24,12.88
QV2M,2013,6.59,6.71,8.3,11.72,16.48,18.19,18.43,18.13,17.7,14.89,11.47,8.79,13.12
QV2M,2014,7.45,6.96,7.93,10.62,15.38,18.19,18.49,18.13,17.15,14.71,12.02,8.54,13.0
QV2M,2015,8.24,7.32,7.93,13.37,15.75,17.76,18.25,18.31,17.88,15.2,11.78,8.48,13.37
QV2M,2016,6.96,8.91,9.95,14.65,16.24,18.07,18.31,18.62,18.01,16.36,12.57,9.58,14.04
QV2M,2017,7.45,7.63,9.58,14.47,16.54,18.19,18.49,18.43,18.01,15.99,11.9,10.01,13.92
QV2M,2018,7.81,8.91,9.95,12.51,15.75,18.07,18.74,18.62,17.27,13.67,9.95,8.24,13.31
QV2M,2019,6.35,7.08,8.61,12.15,15.01,17.64,18.07,18.49,17.33,15.44,12.51,7.87,13.06
QV2M,2020,7.57,7.26,8.54,11.05,14.65,17.76,18.19,18.31,17.82,16.91,11.84,8.54,13.24
T2MDEW,2011,7.38,7.31,10.25,14.1,19.02,21.51,21.59,21.39,21.13,18.51,12.85,9.08,15.39
T2MDEW,2012,6.07,3.01,9.01,15.69,18.7,21.35,21.69,21.9,21.58,19.18,15.05,9.43,15.25
T2MDEW,2013,5.98,6.43,9.18,14.8,20.24,21.85,22.04,21.83,21.43,18.68,14.66,10.27,15.66
T2MDEW,2014,8.12,6.94,8.65,13.21,19.15,21.79,22.13,21.82,20.97,18.53,15.24,10.12,15.6
T2MDEW,2015,9.48,7.65,8.24,17.03,19.51,21.45,21.89,22.0,21.64,19.04,15.0,9.97,16.12
T2MDEW,2016,7.13,10.73,12.33,18.34,20.05,21.8,21.96,22.23,21.76,20.19,15.95,11.88,17.04
T2MDEW,2017,7.96,8.16,11.44,18.25,20.33,21.87,22.13,22.09,21.76,19.73,15.1,12.55,16.83
T2MDEW,2018,8.65,10.76,12.29,15.87,19.55,21.73,22.33,22.23,21.1,17.37,12.41,9.4,16.16
T2MDEW,2019,5.83,7.01,9.94,15.44,18.7,21.35,21.76,22.09,21.12,19.38,15.94,8.85,15.66
T2MDEW,2020,8.2,7.58,10.0,13.77,18.35,21.47,21.88,21.99,21.59,20.75,15.05,10.13,15.92
GWETTOP,2011,0.61,0.53,0.49,0.52,0.67,0.82,0.9,0.93,0.89,0.77,0.62,0.54,0.7
GWETTOP,2012,0.52,0.4,0.48,0.57,0.62,0.73,0.73,0.77,0.8,0.82,0.73,0.6,0.65
GWETTOP,2013,0.53,0.46,0.37,0.52,0.8,0.76,0.86,0.91,0.91,0.88,0.76,0.62,0.7
GWETTOP,2014,0.53,0.5,0.46,0.47,0.64,0.75,0.79,0.8,0.81,0.75,0.62,0.53,0.64
GWETTOP,2015,0.53,0.49,0.39,0.64,0.62,0.68,0.85,0.91,0.91,0.88,0.77,0.62,0.7
GWETTOP,2016,0.55,0.52,0.51,0.64,0.78,0.83,0.88,0.84,0.85,0.84,0.79,0.64,0.73
GWETTOP,2017,0.55,0.52,0.55,0.79,0.75,0.87,0.94,0.91,0.91,0.91,0.87,0.8,0.78
GWETTOP,2018,0.7,0.59,0.55,0.57,0.71,0.83,0.88,0.89,0.84,0.71,0.59,0.54,0.7
GWETTOP,2019,0.51,0.44,0.5,0.52,0.57,0.63,0.73,0.74,0.73,0.79,0.73,0.59,0.62
GWETTOP,2020,0.57,0.52,0.47,0.46,0.59,0.76,0.79,0.77,0.75,0.78,0.77,0.61,0.66
T2M_MAX,2011,23.48,28.11,32.15,33.48,33.83,30.37,31.26,30.75,30.05,28.83,26.29,25.55,33.83
T2M_MAX,2012,26.08,29.15,32.29,33.33,34.44,32.42,31.09,31.62,30.98,29.76,26.38,25.92,34.44
T2M_MAX,2013,26.01,32.11,33.48,34.46,32.13,31.3,30.55,29.87,30.4,28.26,25.96,24.34,34.46
T2M_MAX,2014,27.12,27.92,32.48,35.44,34.06,34.15,30.93,30.69,31.34,29.18,27.73,27.01,35.44
T2M_MAX,2015,26.6,29.69,33.18,30.47,33.41,32.86,30.88,29.39,30.51,28.86,25.37,24.43,33.41
T2M_MAX,2016,24.03,28.92,33.37,32.67,31.3,31.62,30.98,30.23,30.11,29.22,26.23,25.08,33.37
T2M_MAX,2017,27.48,29.87,30.96,28.69,30.83,29.92,30.58,30.36,30.76,29.29,25.5,24.13,30.96
T2M_MAX,2018,22.47,28.03,30.56,32.52,32.23,30.06,31.67,30.48,30.33,28.76,26.35,25.94,32.52
T2M_MAX,2019,26.38,28.84,31.89,34.71,34.19,33.25,32.6,31.9,31.11,28.12,27.12,23.89,34.71
T2M_MAX,2020,24.8,29.06,32.38,34.43,34.73,31.26,30.5,31.87,31.93,29.95,26.09,24.76,34.73
T2M_MIN,2011,4.58,8.07,10.75,13.78,17.69,19.74,19.14,18.37,18.85,14.64,11.19,7.25,4.58
T2M_MIN,2012,5.54,7.27,11.23,14.06,16.38,19.52,20.02,19.19,19.4,16.04,9.62,7.08,5.54
T2M_MIN,2013,3.65,10.12,12.95,15.32,17.19,19.51,19.88,20.22,17.88,13.51,11.23,6.39,3.65
T2M_MIN,2014,6.12,7.04,10.62,16.29,18.01,20.8,19.97,19.65,17.15,14.55,10.8,9.05,6.12
T2M_MIN,2015,7.79,8.01,9.98,15.65,18.11,20.19,20.0,19.58,18.91,15.83,12.36,5.31,5.31
