-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  25.46   Longitude 91.36 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1021.1 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,6.53,7.26,9.28,11.84,15.75,17.33,18.01,17.64,17.4,14.28,9.95,8.12,12.82
QV2M,2012,6.53,5.98,7.14,13.55,15.62,18.43,18.92,18.8,17.88,14.16,9.64,7.2,12.82
QV2M,2013,5.8,7.08,8.12,11.66,16.85,18.74,18.98,18.31,17.52,14.16,10.74,8.54,13.06
QV2M,2014,7.81,7.02,8.12,10.86,15.93,18.62,18.74,18.68,17.33,14.28,10.8,8.36,13.06
QV2M,2015,7.75,7.93,8.91,13.37,16.54,18.55,18.43,18.43,17.58,14.71,11.6,8.18,13.55
QV2M,2016,6.84,7.93,9.7,15.62,16.36,18.37,18.55,18.55,17.76,15.44,12.08,9.64,13.92
QV2M,2017,7.14,7.63,9.89,14.77,16.66,18.49,18.62,18.74,17.94,15.14,10.93,9.95,13.85
QV2M,2018,7.26,8.12,9.58,12.94,15.99,18.37,19.04,18.86,17.58,13.06,10.25,8.24,13.31
QV2M,2019,6.9,7.2,8.24,13.12,16.3,18.62,18.86,18.98,17.27,14.28,11.96,8.24,13.37
QV2M,2020,7.63,7.51,9.16,11.78,15.38,18.31,18.74,18.62,18.13,16.6,10.93,8.61,13.49
T2MDEW,2011,5.83,7.35,10.64,14.79,19.31,20.8,21.44,21.1,20.9,17.73,12.18,9.01,15.13
T2MDEW,2012,5.78,4.26,6.77,16.8,19.04,21.76,22.22,22.15,21.34,17.51,11.37,7.2,14.7
T2MDEW,2013,3.73,6.8,8.86,14.2,20.31,22.06,22.23,21.68,21.01,17.6,13.3,9.68,15.16
T2MDEW,2014,8.65,6.69,8.87,13.2,19.47,21.91,22.03,22.01,20.87,17.74,13.33,9.44,15.4
T2MDEW,2015,8.37,8.44,10.13,16.69,20.08,21.9,21.76,21.84,21.1,18.19,14.58,8.98,16.04
T2MDEW,2016,6.46,8.5,11.58,19.08,19.86,21.76,21.9,21.93,21.26,19.0,15.14,11.76,16.53
T2MDEW,2017,7.13,7.87,11.47,18.19,20.17,21.83,21.94,22.08,21.45,18.53,13.59,12.18,16.41
T2MDEW,2018,7.21,8.96,11.39,16.11,19.48,21.71,22.28,22.15,21.07,16.41,12.57,9.27,15.75
T2MDEW,2019,6.82,7.23,8.92,16.36,19.86,21.93,22.17,22.26,20.77,17.76,14.99,9.3,15.73
T2MDEW,2020,8.15,7.88,10.88,14.65,18.83,21.69,22.07,21.97,21.61,20.16,13.42,9.91,15.96
GWETTOP,2011,0.78,0.73,0.67,0.66,0.72,0.79,0.9,0.96,0.95,0.88,0.81,0.77,0.8
GWETTOP,2012,0.73,0.67,0.62,0.73,0.78,0.92,0.96,0.96,0.95,0.92,0.85,0.8,0.83
GWETTOP,2013,0.77,0.7,0.62,0.61,0.86,0.9,0.95,0.95,0.94,0.95,0.88,0.82,0.83
GWETTOP,2014,0.78,0.73,0.67,0.61,0.72,0.82,0.9,0.95,0.96,0.91,0.84,0.8,0.8
GWETTOP,2015,0.76,0.71,0.65,0.76,0.85,0.94,0.95,0.95,0.97,0.91,0.84,0.8,0.84
GWETTOP,2016,0.77,0.73,0.68,0.86,0.94,0.96,0.98,0.95,0.95,0.94,0.88,0.83,0.88
GWETTOP,2017,0.78,0.75,0.78,0.94,0.95,0.98,0.98,0.98,0.97,0.96,0.9,0.86,0.9
GWETTOP,2018,0.82,0.77,0.73,0.79,0.91,0.96,0.97,0.97,0.96,0.9,0.84,0.8,0.87
GWETTOP,2019,0.76,0.71,0.66,0.73,0.88,0.95,0.98,0.95,0.96,0.95,0.91,0.85,0.86
GWETTOP,2020,0.82,0.77,0.72,0.74,0.88,0.98,0.98,0.96,0.98,0.95,0.9,0.84,0.88
T2M_MAX,2011,20.44,23.07,26.03,27.29,29.14,28.93,28.44,30.07,28.52,27.92,24.82,22.68,30.07
T2M_MAX,2012,19.9,24.3,28.24,29.03,28.65,28.19,28.18,28.46,29.12,27.39,25.62,21.9,29.12
T2M_MAX,2013,21.83,25.72,27.93,29.86,27.93,28.98,28.84,28.39,28.41,27.9,25.21,22.33,29.86
T2M_MAX,2014,21.55,22.75,28.59,31.34,28.56,29.18,28.79,27.96,28.73,27.65,24.69,22.32,31.34
T2M_MAX,2015,22.26,23.56,27.33,27.04,27.7,27.53,27.65,27.69,28.33,27.58,23.74,22.01,28.33
T2M_MAX,2016,20.82,24.41,27.59,27.6,28.37,29.08,27.11,28.76,27.28,28.35,26.37,23.83,29.08
