-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  23.16   Longitude 92.93 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 964.11 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,6.53,6.47,8.18,11.05,15.01,16.97,16.97,17.15,16.85,14.59,10.07,7.26,12.27
QV2M,2012,5.98,5.0,7.81,11.9,14.77,17.09,17.03,17.21,17.09,15.08,11.29,6.41,12.21
QV2M,2013,5.13,5.37,7.87,11.05,15.56,17.46,17.21,16.85,17.03,14.83,10.86,7.69,12.27
QV2M,2014,6.16,6.47,7.45,10.07,14.89,17.27,17.46,17.03,16.6,14.71,11.29,7.51,12.27
QV2M,2015,7.32,6.35,7.45,13.12,15.26,17.09,17.33,17.52,17.46,15.26,11.6,8.18,12.88
QV2M,2016,6.29,8.61,10.01,13.67,15.2,17.15,17.4,17.76,17.64,16.17,12.33,9.58,13.49
QV2M,2017,7.08,7.2,9.77,13.92,16.05,17.58,17.7,17.82,17.58,15.87,12.08,9.77,13.55
QV2M,2018,6.59,8.0,9.28,12.51,15.32,17.46,18.07,17.94,17.21,13.73,10.31,7.81,12.88
QV2M,2019,5.86,6.77,8.97,11.66,14.65,17.4,17.82,18.13,17.33,15.26,11.84,8.12,12.82
QV2M,2020,7.63,6.71,8.42,11.54,14.77,17.15,17.58,17.7,17.33,16.78,11.72,7.87,12.94
T2MDEW,2011,5.71,5.52,8.67,13.62,18.54,20.54,20.56,20.73,20.45,18.15,12.42,7.06,14.37
T2MDEW,2012,4.22,1.55,8.1,14.69,18.18,20.59,20.58,20.76,20.72,18.67,13.87,5.03,13.94
T2MDEW,2013,1.85,2.87,7.95,13.59,19.18,20.97,20.77,20.44,20.64,18.4,13.26,7.76,14.03
T2MDEW,2014,4.85,5.34,7.26,12.14,18.34,20.8,20.97,20.65,20.24,18.33,13.79,7.76,14.25
T2MDEW,2015,7.27,5.19,6.93,16.49,18.78,20.69,20.89,21.11,21.08,18.87,14.56,9.12,15.13
T2MDEW,2016,5.18,9.86,12.07,17.05,18.71,20.73,21.0,21.26,21.2,19.85,15.44,11.62,16.17
T2MDEW,2017,6.88,6.96,11.49,17.3,19.6,21.1,21.23,21.36,21.21,19.44,15.02,11.77,16.16
T2MDEW,2018,5.51,8.8,10.91,15.58,18.94,20.97,21.52,21.42,20.84,17.23,12.73,8.27,15.26
T2MDEW,2019,4.23,5.9,10.29,14.54,18.05,20.95,21.33,21.6,20.92,18.96,14.8,9.11,15.1
T2MDEW,2020,8.0,6.11,9.59,14.34,18.3,20.74,21.18,21.2,20.96,20.41,14.66,8.65,15.37
GWETTOP,2011,0.51,0.42,0.33,0.45,0.57,0.68,0.73,0.84,0.8,0.7,0.59,0.46,0.59
GWETTOP,2012,0.4,0.29,0.3,0.48,0.55,0.66,0.72,0.73,0.71,0.66,0.55,0.44,0.54
GWETTOP,2013,0.35,0.26,0.21,0.36,0.7,0.7,0.71,0.73,0.74,0.73,0.63,0.51,0.55
GWETTOP,2014,0.39,0.38,0.35,0.28,0.53,0.69,0.73,0.73,0.73,0.7,0.59,0.45,0.55
GWETTOP,2015,0.4,0.34,0.34,0.59,0.59,0.68,0.88,0.92,0.91,0.88,0.76,0.6,0.66
GWETTOP,2016,0.5,0.45,0.43,0.5,0.62,0.73,0.84,0.85,0.88,0.88,0.83,0.69,0.68
GWETTOP,2017,0.55,0.44,0.55,0.69,0.74,0.91,0.95,0.95,0.94,0.91,0.85,0.77,0.77
GWETTOP,2018,0.62,0.5,0.43,0.55,0.69,0.87,0.91,0.91,0.91,0.86,0.77,0.61,0.72
GWETTOP,2019,0.49,0.44,0.49,0.48,0.54,0.71,0.91,0.92,0.89,0.88,0.82,0.7,0.69
GWETTOP,2020,0.64,0.51,0.41,0.47,0.62,0.8,0.84,0.82,0.8,0.86,0.82,0.68,0.69
T2M_MAX,2011,26.07,29.55,32.83,33.36,33.12,31.09,31.24,32.97,31.21,29.73,27.19,27.32,33.36
T2M_MAX,2012,27.98,30.22,32.43,33.34,33.95,33.12,31.52,30.69,31.04,30.07,28.01,28.49,33.95
T2M_MAX,2013,28.57,32.49,33.35,34.78,32.48,31.26,31.55,30.33,30.33,29.59,27.78,26.63,34.78
T2M_MAX,2014,28.02,29.08,32.3,36.18,34.86,32.76,32.09,31.25,30.76,29.44,28.55,27.66,36.18
T2M_MAX,2015,27.48,29.76,32.74,30.9,32.86,32.9,30.47,29.53,30.87,28.81,25.23,24.37,32.9
T2M_MAX,2016,24.83,29.1,33.47,33.98,32.98,31.95,31.55,30.41,29.69,29.16,26.67,25.34,33.98
T2M_MAX,2017,27.85,29.8,30.14,30.87,31.91,31.05,29.86,30.55,30.1,29.26,25.83,23.52,31.91
T2M_MAX,2018,23.96,28.88,31.42,32.53,35.73,30.18,32.38,30.37,30.23,27.4,25.45,25.12,35.73
T2M_MAX,2019,27.05,29.01,31.52,34.24,34.48,32.51,31.4,31.04,33.06,31.37,26.75,23.22,34.48
T2M_MAX,2020,24.02,29.36,33.19,33.66,34.11,29.75,30.37,30.66,32.65,32.43,26.25,26.74,34.11
T2M_MIN,2011,3.33,7.65,11.36,12.57,17.26,19.02,18.05,17.5,16.14,13.65,10.45,6.8,3.33
T2M_MIN,2012,2.23,5.61,11.58,14.26,16.7,18.8,18.39,18.26,19.19,14.65,9.35,4.29,2.23
T2M_MIN,2013,2.8,9.65,11.59,13.79,16.63,19.14,19.01,17.62,18.24,12.24,9.77,5.23,2.8
T2M_MIN,2014,6.21,5.94,11.01,15.4,17.38,19.27,18.87,18.73,17.61,15.26,9.08,8.11,5.94
T2M_MIN,2015,5.69,7.69,10.26,14.28,17.11,18.92,18.6,18.87,18.94,15.53,8.92,6.15,5.69
T2M_MIN,2016,3.83,7.65,13.06,14.26,16.9,18.1,18.93,17.91,18.96,15.79,10.56,9.08,3.83
T2M_MIN,2017,6.05,6.43,7.72,14.55,15.92,18.07,18.92,18.96,17.73,14.01,8.86,7.08,6.05
T2M_MIN,2018,1.92,7.26,12.12,14.63,16.37,17.87,19.51,18.76,18.65,11.26,9.31,3.75,1.92
T2M_MIN,2019,6.01,6.4,5.64,13.33,16.74,18.37,18.6,18.95,17.28,14.65,9.63,4.63,4.63
T2M_MIN,2020,3.28,2.95,9.98,13.34,16.52,17.38,19.31,18.62,18.73,18.22,9.8,6.88,2.95
GWETPROF,2011,0.52,0.48,0.46,0.48,0.53,0.62,0.7,0.8,0.77,0.69,0.58,0.5,0.59
GWETPROF,2012,0.48,0.45,0.45,0.5,0.54,0.61,0.67,0.7,0.68,0.63,0.55,0.49,0.56
