-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  26.15   Longitude 94.56 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 997.11 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,6.84,7.57,9.4,11.29,14.4,17.03,17.52,17.09,16.91,13.61,9.58,8.06,12.45
QV2M,2012,6.84,6.53,8.12,11.6,13.92,17.03,18.07,18.37,17.15,14.1,10.8,8.3,12.57
QV2M,2013,7.32,8.06,9.22,11.6,15.44,17.64,18.25,17.94,17.03,13.79,10.13,8.18,12.94
QV2M,2014,7.81,7.57,8.79,10.56,14.22,17.64,18.37,17.94,16.66,13.85,11.41,8.91,12.82
QV2M,2015,8.3,8.06,9.09,12.15,14.4,17.46,17.88,18.13,17.4,14.16,10.8,8.24,13.06
QV2M,2016,7.45,8.85,10.01,13.18,14.59,17.7,18.01,18.37,17.64,15.32,11.47,8.85,13.43
QV2M,2017,7.39,8.18,9.46,12.51,15.08,17.64,18.13,18.37,17.76,15.38,10.99,9.22,13.37
QV2M,2018,7.87,8.54,9.77,11.78,14.47,17.46,18.43,18.37,17.15,13.06,9.7,8.36,12.94
QV2M,2019,6.96,7.75,8.73,12.08,14.53,17.4,17.94,18.49,17.09,14.59,11.84,7.87,12.94
QV2M,2020,7.57,8.06,9.4,11.23,14.04,17.03,17.94,18.25,17.64,16.6,10.93,8.24,13.06
T2MDEW,2011,6.59,8.12,11.14,14.02,17.81,20.46,20.96,20.54,20.42,17.01,11.66,8.87,14.83
T2MDEW,2012,6.52,5.83,8.96,14.48,17.11,20.41,21.42,21.72,20.68,17.51,13.39,9.4,14.81
T2MDEW,2013,7.49,8.92,10.94,14.37,18.9,20.95,21.61,21.36,20.55,17.15,12.46,9.12,15.35
T2MDEW,2014,8.65,7.99,10.14,12.92,17.63,21.03,21.69,21.34,20.15,17.26,14.23,10.5,15.33
T2MDEW,2015,9.45,8.92,10.6,15.19,17.8,20.9,21.26,21.51,20.91,17.58,13.43,9.27,15.6
T2MDEW,2016,7.89,10.47,12.15,16.44,17.98,21.1,21.41,21.68,21.12,18.83,14.3,10.37,16.15
T2MDEW,2017,7.69,9.19,11.17,15.65,18.5,21.03,21.52,21.72,21.25,18.78,13.62,10.98,15.96
T2MDEW,2018,8.55,9.87,11.88,14.7,17.87,20.9,21.73,21.69,20.65,16.37,11.82,9.46,15.48
T2MDEW,2019,6.92,8.39,10.05,15.1,17.95,20.82,21.33,21.8,20.56,18.15,14.79,8.7,15.41
T2MDEW,2020,8.08,9.04,11.27,13.89,17.44,20.45,21.38,21.6,21.15,20.14,13.54,9.37,15.63
GWETTOP,2011,0.81,0.77,0.75,0.74,0.78,0.83,0.9,0.94,0.92,0.87,0.82,0.79,0.83
GWETTOP,2012,0.76,0.71,0.69,0.73,0.73,0.82,0.86,0.89,0.92,0.92,0.86,0.81,0.8
GWETTOP,2013,0.77,0.72,0.69,0.7,0.8,0.8,0.88,0.93,0.93,0.91,0.85,0.81,0.82
GWETTOP,2014,0.77,0.74,0.7,0.65,0.75,0.8,0.83,0.88,0.9,0.87,0.81,0.77,0.79
GWETTOP,2015,0.74,0.7,0.66,0.75,0.75,0.86,0.91,0.95,0.95,0.91,0.85,0.82,0.82
GWETTOP,2016,0.78,0.75,0.72,0.75,0.79,0.84,0.92,0.92,0.94,0.91,0.87,0.81,0.84
GWETTOP,2017,0.77,0.73,0.73,0.78,0.8,0.86,0.95,0.95,0.95,0.95,0.89,0.85,0.85
GWETTOP,2018,0.82,0.77,0.77,0.76,0.81,0.88,0.92,0.95,0.95,0.89,0.84,0.8,0.84
GWETTOP,2019,0.77,0.73,0.71,0.72,0.78,0.81,0.89,0.92,0.94,0.94,0.9,0.84,0.83
GWETTOP,2020,0.82,0.79,0.74,0.74,0.8,0.87,0.92,0.93,0.93,0.93,0.89,0.84,0.85
T2M_MAX,2011,20.55,23.65,27.89,30.11,32.28,32.69,31.77,32.55,31.81,29.95,23.98,23.58,32.69
T2M_MAX,2012,21.05,25.95,29.73,30.83,32.8,32.48,32.53,33.33,33.39,29.51,25.95,22.94,33.39
T2M_MAX,2013,23.15,28.66,29.83,31.94,33.03,34.84,32.55,31.34,30.67,29.62,25.58,23.12,34.84
T2M_MAX,2014,23.33,24.82,30.87,33.58,33.3,34.06,33.21,33.31,33.28,30.45,26.25,24.04,34.06
T2M_MAX,2015,23.73,28.02,31.25,30.06,32.41,32.58,33.05,32.9,30.69,30.24,26.68,23.23,33.05
T2M_MAX,2016,21.3,26.37,30.78,32.17,31.19,34.83,31.92,33.43,30.8,32.11,27.05,23.58,34.83
T2M_MAX,2017,24.28,26.15,28.03,30.08,31.23,32.73,32.8,31.55,32.4,30.62,26.62,24.29,32.8
T2M_MAX,2018,21.82,25.49,28.39,30.9,34.05,31.67,34.26,32.96,32.23,28.94,26.55,22.81,34.26
T2M_MAX,2019,23.14,24.77,29.46,32.46,32.76,33.05,32.11,33.49,33.42,29.11,27.62,21.94,33.49
T2M_MAX,2020,21.3,24.94,29.45,30.27,33.34,32.94,30.85,33.57,31.88,35.23,26.87,22.83,35.23
T2M_MIN,2011,2.89,6.82,9.76,11.92,16.01,18.33,18.48,17.4,17.41,13.1,8.67,5.57,2.89
T2M_MIN,2012,2.68,5.74,8.04,11.62,13.85,18.73,19.25,19.76,18.19,14.06,10.21,6.37,2.68
T2M_MIN,2013,3.46,8.45,11.32,13.48,15.7,17.59,20.2,19.62,16.54,12.82,9.73,3.72,3.46
T2M_MIN,2014,4.3,4.23,9.02,14.26,16.71,19.83,19.95,18.9,16.09,13.73,9.76,5.65,4.23
T2M_MIN,2015,5.81,8.39,9.18,14.74,16.77,19.3,18.92,19.32,19.06,14.93,10.79,5.07,5.07
T2M_MIN,2016,5.48,7.64,12.26,14.28,15.8,19.55,19.58,19.73,18.94,15.05,10.92,7.98,5.48
T2M_MIN,2017,5.83,8.29,9.91,14.05,16.0,18.91,18.3,19.79,19.25,12.94,10.42,7.17,5.83
T2M_MIN,2018,2.58,7.32,10.95,13.65,15.67,19.52,19.84,20.14,19.06,13.4,8.83,5.23,2.58
T2M_MIN,2019,4.51,5.8,7.53,13.44,16.34,18.95,19.2,19.28,17.87,15.99,11.59,4.38,4.38
T2M_MIN,2020,3.15,5.18,9.44,13.19,17.22,17.73,19.51,18.84,19.11,16.55,9.94,5.48,3.15
GWETPROF,2011,0.84,0.8,0.77,0.75,0.77,0.82,0.91,0.95,0.95,0.91,0.86,0.81,0.84
GWETPROF,2012,0.78,0.74,0.71,0.71,0.73,0.79,0.86,0.91,0.94,0.95,0.89,0.84,0.82
GWETPROF,2013,0.8,0.76,0.72,0.71,0.77,0.79,0.88,0.94,0.95,0.95,0.89,0.84,0.84
GWETPROF,2014,0.8,0.77,0.73,0.7,0.72,0.77,0.84,0.88,0.91,0.91,0.85,0.8,0.8
GWETPROF,2015,0.77,0.73,0.7,0.73,0.74,0.84,0.92,0.96,0.98,0.95,0.9,0.84,0.84
GWETPROF,2016,0.8,0.77,0.74,0.73,0.77,0.83,0.92,0.95,0.95,0.95,0.91,0.85,0.85
GWETPROF,2017,0.8,0.76,0.74,0.77,0.79,0.85,0.95,0.98,0.98,0.98,0.94,0.88,0.87
GWETPROF,2018,0.84,0.8,0.78,0.76,0.8,0.87,0.93,0.97,0.97,0.93,0.88,0.83,0.87
GWETPROF,2019,0.79,0.75,0.73,0.72,0.76,0.8,0.88,0.95,0.95,0.96,0.94,0.88,0.84
GWETPROF,2020,0.85,0.81,0.77,0.75,0.78,0.85,0.93,0.95,0.95,0.95,0.93,0.88,0.87
GWETROOT,2011,0.8,0.75,0.73,0.72,0.75,0.8,0.88,0.95,0.93,0.86,0.8,0.77,0.81
GWETROOT,2012,0.74,0.7,0.67,0.7,0.71,0.78,0.83,0.88,0.92,0.93,0.84,0.8,0.79
GWETROOT,2013,0.76,0.71,0.68,0.69,0.77,0.77,0.86,0.93,0.95,0.92,0.84,0.79,0.8
GWETROOT,2014,0.76,0.72,0.69,0.65,0.71,0.76,0.8,0.86,0.9,0.87,0.8,0.76,0.77
GWETROOT,2015,0.73,0.7,0.66,0.71,0.72,0.83,0.91,0.95,0.97,0.91,0.84,0.8,0.81
GWETROOT,2016,0.77,0.73,0.7,0.72,0.75,0.8,0.91,0.93,0.95,0.92,0.86,0.8,0.82
GWETROOT,2017,0.76,0.72,0.71,0.75,0.77,0.83,0.95,0.98,0.98,0.97,0.89,0.84,0.84
GWETROOT,2018,0.8,0.76,0.74,0.73,0.78,0.84,0.92,0.97,0.96,0.89,0.82,0.78,0.84
GWETROOT,2019,0.75,0.71,0.7,0.7,0.74,0.78,0.86,0.93,0.95,0.95,0.9,0.83,0.82
GWETROOT,2020,0.8,0.77,0.73,0.72,0.76,0.84,0.91,0.94,0.94,0.95,0.89,0.82,0.84
WS2M_MAX,2011,1.06,1.09,0.99,0.86,0.8,0.73,0.62,0.67,0.7,0.86,0.99,1.06,1.09
WS2M_MAX,2012,1.02,1.06,0.97,0.84,0.71,0.62,0.48,0.62,0.73,1.02,1.02,1.09,1.09
WS2M_MAX,2013,1.08,1.05,0.99,0.77,0.66,0.59,0.52,0.54,0.59,0.89,1.01,1.06,1.08
WS2M_MAX,2014,1.02,1.08,0.93,0.95,0.77,0.54,0.53,0.61,0.84,0.85,0.95,1.05,1.08
WS2M_MAX,2015,0.95,1.07,0.88,0.79,0.8,0.55,0.53,0.59,0.68,0.85,1.01,1.09,1.09
WS2M_MAX,2016,1.09,0.94,1.09,0.67,0.75,0.56,0.5,0.67,0.69,0.81,0.96,1.12,1.12
WS2M_MAX,2017,1.15,1.0,0.97,0.75,0.72,0.62,0.63,0.55,0.53,0.88,1.0,1.09,1.15
WS2M_MAX,2018,0.97,0.97,1.0,0.89,0.7,0.66,0.55,0.63,0.62,0.9,1.05,1.12,1.12
WS2M_MAX,2019,1.11,1.12,1.02,0.82,0.69,0.69,0.51,0.62,0.65,0.81,0.96,1.11,1.12
WS2M_MAX,2020,1.09,0.98,0.89,0.83,0.65,0.63,0.55,0.59,0.55,0.8,1.0,1.05,1.09
WS2M_MIN,2011,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,2012,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,2013,0.0,0.0,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,2014,0.0,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,2015,0.0,0.01,0.01,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,2016,0.0,0.01,0.01,0.05,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,2017,0.0,0.01,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,2018,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,2019,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,2020,0.0,0.01,0.01,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
CLOUD_AMT,2011,43.66,42.01,62.3,70.85,80.88,83.85,94.4,80.29,75.3,43.21,34.45,38.3,62.59
CLOUD_AMT,2012,57.66,47.27,60.32,80.32,71.91,91.84,93.2,83.1,83.95,49.36,35.33,37.25,65.98
CLOUD_AMT,2013,36.38,43.51,59.98,75.52,84.81,75.97,90.97,84.39,75.59,66.45,22.3,42.91,63.41
CLOUD_AMT,2014,38.27,51.2,62.41,56.59,84.91,88.95,91.09,91.07,75.17,42.41,31.47,39.96,62.88
CLOUD_AMT,2015,49.02,58.18,54.95,85.44,86.4,89.52,85.1,90.58,72.87,51.72,40.17,43.06,67.27
CLOUD_AMT,2016,52.04,60.82,66.63,83.01,86.13,84.57,93.89,77.84,82.32,52.76,37.88,36.98,67.9
CLOUD_AMT,2017,37.31,36.16,64.19,75.62,88.45,90.27,90.26,90.66,88.65,68.36,30.49,37.06,66.66
CLOUD_AMT,2018,36.68,58.62,53.89,76.37,89.3,91.09,95.61,90.8,85.27,52.76,32.31,32.25,66.25
CLOUD_AMT,2019,21.3,54.89,64.05,73.53,86.05,87.46,93.53,84.51,86.58,65.44,38.77,37.16,66.14
CLOUD_AMT,2020,48.44,56.78,57.61,75.88,85.35,89.71,96.77,86.2,89.98,66.4,36.74,23.2,67.76
PRECTOTCORR,2011,0.59,0.26,2.99,3.06,7.1,8.27,11.7,8.93,6.51,0.43,0.79,0.28,4.27
PRECTOTCORR,2012,0.45,0.2,1.29,5.9,4.83,10.69,8.71,6.33,9.07,3.95,0.87,0.28,4.38
PRECTOTCORR,2013,0.08,0.19,1.56,3.53,8.75,6.32,10.84,9.61,6.48,3.97,0.02,0.15,4.33
PRECTOTCORR,2014,0.05,1.12,0.87,0.82,8.78,9.16,6.19,8.9,8.66,0.94,0.22,0.08,3.83
PRECTOTCORR,2015,0.72,0.64,0.91,6.08,6.99,12.89,10.52,12.34,6.17,2.58,0.66,0.52,5.11
PRECTOTCORR,2016,0.49,0.88,1.91,6.43,7.93,9.01,11.88,6.0,7.76,2.69,1.34,0.13,4.71
PRECTOTCORR,2017,0.13,1.31,3.61,5.92,7.55,10.99,15.91,8.58,9.7,5.99,0.16,0.7,5.91
PRECTOTCORR,2018,0.32,0.43,2.34,3.97,7.78,11.71,13.64,12.58,5.45,1.6,0.49,0.91,5.14
