-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  20.95   Longitude 85.09 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.61 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,7.2,8.73,8.85,12.63,15.75,19.17,19.84,20.26,19.71,16.24,11.96,9.09,14.16
QV2M,2012,9.64,7.75,6.59,12.57,13.98,17.21,20.26,20.2,19.53,15.08,12.39,9.16,13.73
QV2M,2013,8.3,8.18,7.75,11.72,15.14,19.17,20.02,19.65,19.59,17.64,12.39,9.83,14.16
QV2M,2014,9.7,10.01,10.62,10.01,14.04,19.1,20.51,20.14,19.35,16.48,11.47,8.18,14.16
QV2M,2015,8.24,8.06,9.77,12.57,15.2,18.25,20.08,20.32,19.47,16.17,12.39,10.5,14.28
QV2M,2016,7.14,10.56,10.5,10.56,14.95,18.8,19.71,19.84,19.96,15.99,11.41,8.79,14.04
QV2M,2017,7.51,7.45,9.95,11.41,15.2,18.74,20.02,20.26,19.9,17.46,12.39,9.4,14.16
QV2M,2018,6.41,7.45,8.48,13.49,16.3,18.37,20.08,20.32,19.35,15.62,12.51,9.22,13.98
QV2M,2019,7.32,8.73,11.29,11.6,15.5,18.19,19.78,20.2,19.96,17.64,13.37,10.25,14.53
QV2M,2020,9.16,8.97,12.33,12.39,15.38,19.59,20.2,20.57,20.2,18.37,12.88,9.4,14.95
T2MDEW,2011,8.44,11.16,10.97,16.81,20.31,23.88,24.54,24.87,24.45,21.26,16.5,11.96,17.96
T2MDEW,2012,12.54,9.26,6.02,16.71,18.25,21.85,24.83,24.84,24.3,19.97,16.71,12.0,17.29
T2MDEW,2013,10.44,10.53,8.83,15.33,19.62,23.86,24.61,24.4,24.37,22.65,17.05,13.43,17.96
T2MDEW,2014,13.3,13.38,14.58,13.18,18.37,23.8,25.03,24.82,24.17,21.48,15.66,10.56,18.23
T2MDEW,2015,10.29,10.12,12.78,16.83,19.83,23.1,24.73,24.98,24.3,21.2,17.03,13.95,18.3
T2MDEW,2016,8.31,14.14,13.8,13.8,19.57,23.64,24.45,24.54,24.7,20.87,15.61,11.57,17.92
T2MDEW,2017,9.3,8.48,12.49,14.3,19.79,23.51,24.66,24.93,24.69,22.4,16.88,12.64,17.9
T2MDEW,2018,6.87,9.02,10.05,18.01,21.15,23.21,24.7,24.93,24.18,20.65,17.09,12.3,17.72
T2MDEW,2019,8.81,11.08,15.15,15.24,20.21,22.99,24.46,24.83,24.73,22.75,18.25,13.99,18.58
T2MDEW,2020,12.29,11.92,16.88,16.51,20.18,24.32,24.88,25.09,24.9,23.25,17.6,12.58,19.22
GWETTOP,2011,0.48,0.4,0.27,0.26,0.36,0.57,0.76,0.85,0.92,0.8,0.67,0.53,0.58
GWETTOP,2012,0.48,0.38,0.19,0.3,0.24,0.45,0.77,0.88,0.88,0.79,0.74,0.62,0.56
GWETTOP,2013,0.48,0.38,0.24,0.32,0.31,0.55,0.67,0.77,0.81,0.9,0.84,0.73,0.59
GWETTOP,2014,0.62,0.5,0.43,0.26,0.32,0.52,0.72,0.85,0.89,0.81,0.71,0.59,0.6
GWETTOP,2015,0.51,0.4,0.29,0.34,0.34,0.47,0.73,0.82,0.84,0.75,0.61,0.48,0.55
GWETTOP,2016,0.4,0.31,0.29,0.19,0.34,0.48,0.65,0.83,0.83,0.79,0.68,0.53,0.52
GWETTOP,2017,0.42,0.3,0.3,0.18,0.3,0.5,0.73,0.84,0.85,0.84,0.77,0.67,0.56
GWETTOP,2018,0.54,0.4,0.23,0.37,0.41,0.51,0.73,0.84,0.87,0.82,0.7,0.63,0.59
GWETTOP,2019,0.53,0.42,0.38,0.29,0.4,0.44,0.62,0.76,0.84,0.84,0.78,0.69,0.59
