-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  31.14   Longitude 75.34 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 240.26 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,3.54,5.55,5.37,6.47,7.69,14.4,17.76,19.78,17.94,9.58,6.71,3.91,9.89
QV2M,2012,3.97,3.97,3.72,7.32,5.68,7.69,15.75,17.27,15.56,8.18,5.37,4.21,8.24
QV2M,2013,3.54,6.16,6.84,7.14,5.31,12.82,18.55,19.96,15.32,11.29,5.37,4.03,9.7
QV2M,2014,4.21,4.58,6.29,7.26,8.42,10.01,14.71,14.22,16.66,10.8,5.8,3.91,8.91
QV2M,2015,4.21,5.74,8.24,9.95,8.18,11.6,18.43,17.82,12.02,9.34,6.04,3.85,9.64
QV2M,2016,3.85,3.91,6.77,6.1,8.67,12.82,18.25,18.55,14.22,7.75,4.21,3.23,9.03
QV2M,2017,4.82,5.25,6.04,6.35,8.24,13.61,18.43,18.86,13.85,7.39,5.31,3.97,9.4
QV2M,2018,3.36,4.76,5.37,6.65,6.41,14.1,20.2,19.53,15.87,10.13,6.59,4.46,9.83
QV2M,2019,4.7,5.98,7.08,8.79,8.18,9.83,17.94,20.2,17.94,11.05,7.87,4.76,10.38
QV2M,2020,5.43,6.04,8.73,10.38,10.56,13.55,18.07,20.75,15.99,7.2,5.31,5.0,10.62
T2MDEW,2011,-1.42,4.7,4.09,6.45,9.07,18.87,22.46,24.39,22.71,12.37,7.63,-0.7,10.9
T2MDEW,2012,-0.17,-0.56,-1.41,8.58,5.09,9.18,20.3,22.05,20.15,10.51,4.26,0.74,8.25
T2MDEW,2013,-1.58,6.05,7.85,8.25,3.76,16.37,23.13,24.55,20.22,14.9,4.23,0.1,10.67
T2MDEW,2014,0.28,1.69,6.49,8.52,10.75,12.47,19.29,18.8,21.52,14.52,5.23,-0.33,9.98
T2MDEW,2015,0.85,5.02,10.58,13.4,9.87,15.44,23.08,22.65,16.19,12.35,6.03,-0.6,11.27
T2MDEW,2016,-0.66,-0.48,7.39,5.64,10.72,16.99,22.98,23.34,19.01,8.79,0.67,-2.77,9.34
T2MDEW,2017,2.44,3.82,5.78,6.13,10.23,17.82,23.13,23.57,18.16,8.75,3.85,-0.13,10.33
T2MDEW,2018,-2.14,1.84,3.92,6.96,6.33,18.47,24.61,24.12,20.76,13.56,7.15,1.57,10.64
T2MDEW,2019,2.22,5.75,8.34,11.42,9.98,12.21,22.53,24.73,22.81,14.96,9.96,2.55,12.32
T2MDEW,2020,4.48,5.98,11.56,14.08,14.15,18.06,22.78,25.19,20.67,8.38,4.21,3.26,12.75
GWETTOP,2011,0.36,0.36,0.3,0.23,0.16,0.34,0.41,0.54,0.62,0.45,0.38,0.34,0.38
GWETTOP,2012,0.36,0.33,0.21,0.24,0.13,0.14,0.33,0.39,0.47,0.38,0.34,0.34,0.3
GWETTOP,2013,0.34,0.4,0.38,0.27,0.12,0.29,0.45,0.66,0.5,0.4,0.37,0.32,0.38
GWETTOP,2014,0.34,0.36,0.35,0.33,0.27,0.16,0.34,0.34,0.65,0.45,0.38,0.37,0.36
GWETTOP,2015,0.37,0.39,0.49,0.41,0.29,0.29,0.52,0.5,0.42,0.38,0.34,0.3,0.39
GWETTOP,2016,0.27,0.27,0.31,0.18,0.25,0.3,0.46,0.5,0.43,0.34,0.27,0.18,0.31
GWETTOP,2017,0.34,0.38,0.36,0.26,0.19,0.34,0.46,0.55,0.49,0.37,0.32,0.33,0.37
GWETTOP,2018,0.33,0.34,0.27,0.21,0.16,0.34,0.6,0.59,0.57,0.57,0.45,0.41,0.41
GWETTOP,2019,0.41,0.49,0.45,0.35,0.27,0.22,0.45,0.66,0.59,0.49,0.42,0.45,0.44
GWETTOP,2020,0.48,0.45,0.47,0.41,0.34,0.34,0.44,0.58,0.46,0.33,0.3,0.34,0.41
T2M_MAX,2011,22.89,28.05,38.12,42.5,46.84,44.52,42.23,41.89,33.79,34.47,31.08,27.33,46.84
T2M_MAX,2012,22.24,27.68,37.8,39.17,47.19,47.42,47.75,43.54,39.3,36.69,31.11,27.76,47.75
T2M_MAX,2013,24.43,26.68,34.44,39.66,48.44,48.05,42.65,36.06,36.55,35.56,29.42,27.0,48.44
T2M_MAX,2014,24.57,26.33,34.26,42.42,46.02,47.9,45.04,41.58,35.34,34.15,30.24,27.22,47.9
T2M_MAX,2015,23.19,29.86,36.33,40.42,45.7,45.57,42.24,38.53,39.4,36.52,30.01,26.37,45.7
T2M_MAX,2016,25.2,33.05,37.84,43.98,47.74,46.15,41.55,38.55,37.81,37.57,31.08,27.95,47.74
T2M_MAX,2017,24.8,30.18,39.59,45.56,45.84,48.46,41.62,39.13,37.68,37.68,29.33,26.54,48.46
T2M_MAX,2018,26.55,30.89,38.9,43.9,46.37,45.83,40.66,38.14,36.55,32.89,29.01,25.48,46.37
T2M_MAX,2019,21.51,23.64,36.82,41.98,47.41,48.14,44.78,35.73,36.45,32.64,31.27,24.48,48.14
T2M_MAX,2020,21.1,27.22,29.48,38.88,45.77,44.44,45.16,39.53,37.95,37.13,31.1,27.05,45.77
T2M_MIN,2011,-0.02,5.51,9.83,15.46,24.1,24.3,26.21,24.13,20.62,13.9,8.97,5.77,-0.02
T2M_MIN,2012,1.76,1.3,8.36,18.09,19.1,27.4,27.74,25.7,17.92,13.24,6.58,4.25,1.3
T2M_MIN,2013,-0.97,3.99,5.57,14.9,20.05,22.6,26.6,23.83,21.3,15.33,8.74,2.76,-0.97
T2M_MIN,2014,1.8,3.3,8.89,14.07,20.56,27.0,27.82,25.76,19.5,13.9,7.7,2.83,1.8
T2M_MIN,2015,3.0,5.07,6.98,15.34,19.97,25.94,24.6,24.33,18.34,14.49,10.23,3.74,3.0
T2M_MIN,2016,2.69,4.37,10.87,18.34,23.08,27.37,25.48,24.67,22.44,14.26,9.9,6.1,2.69
