-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  27.02   Longitude 74.21 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 354.03 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,3.3,5.07,4.58,5.13,9.4,13.18,17.7,19.17,17.82,8.85,6.9,3.85,9.58
QV2M,2012,3.23,2.5,3.11,6.41,7.57,11.72,15.5,18.19,16.48,8.73,5.13,3.91,8.54
QV2M,2013,3.17,5.07,4.58,6.29,6.35,14.77,18.25,18.74,15.62,11.66,5.8,4.03,9.58
QV2M,2014,4.39,4.52,5.0,5.55,8.73,11.9,16.24,17.58,15.56,8.36,4.88,3.23,8.85
QV2M,2015,4.27,4.27,7.08,7.32,7.45,13.61,17.52,17.58,12.15,6.9,5.68,2.87,8.91
QV2M,2016,3.66,2.99,5.19,5.37,9.09,13.24,18.31,19.04,14.71,10.62,4.39,3.85,9.22
QV2M,2017,4.21,3.54,4.33,5.19,9.58,15.38,18.31,17.94,13.67,5.74,4.27,3.66,8.85
QV2M,2018,2.75,3.66,4.03,5.43,6.41,13.18,18.25,17.58,13.73,6.77,4.46,3.11,8.3
QV2M,2019,3.23,3.72,4.46,6.04,7.93,11.35,18.07,19.84,18.98,11.41,10.19,4.82,10.07
QV2M,2020,4.82,4.09,6.53,7.45,8.67,14.53,18.01,19.65,16.36,7.63,4.82,4.03,9.77
T2MDEW,2011,-2.72,2.97,1.44,2.96,12.04,16.87,22.23,23.69,22.41,11.13,7.8,-0.85,10.03
T2MDEW,2012,-3.09,-6.79,-4.53,6.19,8.73,15.52,19.98,22.76,21.01,11.09,3.5,-0.55,7.86
T2MDEW,2013,-3.44,2.98,1.62,5.83,5.87,18.98,22.8,23.33,20.25,15.01,4.9,0.07,9.88
T2MDEW,2014,0.82,0.8,2.72,4.23,10.92,15.44,20.69,22.19,20.19,10.38,2.04,-3.11,8.99
T2MDEW,2015,0.39,0.45,7.83,8.2,8.25,17.73,22.12,22.28,16.12,7.8,4.48,-4.8,9.28
T2MDEW,2016,-1.54,-4.72,3.14,3.61,11.26,16.74,22.9,23.53,19.32,13.47,1.46,-0.5,9.12
T2MDEW,2017,0.04,-2.31,0.66,2.62,11.85,19.91,22.87,22.58,17.9,4.48,0.42,-1.62,8.35
T2MDEW,2018,-4.82,-1.7,-0.21,3.6,6.11,17.05,22.76,22.24,18.07,7.19,1.3,-3.7,7.37
