-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  27.53   Longitude 88.51 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3239.61 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,2.93,3.23,4.03,5.74,8.85,10.93,12.51,11.72,11.05,8.24,5.68,3.91,7.45
QV2M,2012,2.87,3.11,3.54,5.8,8.0,11.23,12.57,12.15,11.17,6.77,3.97,2.99,7.02
QV2M,2013,2.2,2.87,4.21,5.49,7.81,11.6,12.63,11.96,10.74,8.0,5.07,3.97,7.26
QV2M,2014,3.23,3.36,4.27,4.88,7.93,11.9,12.94,12.51,11.17,7.93,5.74,3.66,7.51
QV2M,2015,3.42,3.91,4.82,6.47,8.85,11.66,12.21,12.63,11.78,8.3,6.23,3.97,7.87
QV2M,2016,3.3,3.72,4.58,5.74,8.97,12.15,13.0,12.57,11.54,9.28,5.98,4.58,8.0
QV2M,2017,3.36,3.78,4.76,6.41,8.97,11.66,12.45,12.88,11.96,8.97,5.86,4.46,8.0
QV2M,2018,3.23,3.72,4.46,7.02,9.28,12.02,13.06,12.76,11.72,7.26,5.31,3.6,7.81
QV2M,2019,3.23,3.66,4.27,7.2,8.18,11.84,13.0,12.88,11.47,8.73,6.41,3.6,7.87
QV2M,2020,3.42,3.66,5.43,6.59,8.85,11.9,13.12,12.94,12.27,9.22,5.13,4.39,8.12
T2MDEW,2011,-9.13,-7.76,-4.99,-0.35,6.07,9.22,11.42,10.35,9.44,4.88,-0.56,-5.81,1.95
