-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  11.12   Longitude 78.65 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 163.36 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,14.53,13.85,13.06,15.14,16.42,14.89,14.65,15.32,16.05,17.58,16.42,14.59,15.2
QV2M,2012,13.31,12.63,13.31,15.14,17.09,15.26,15.44,15.5,15.99,17.03,15.62,15.01,15.14
QV2M,2013,12.94,12.94,13.43,15.08,15.14,15.2,14.4,15.81,16.72,16.91,16.17,13.79,14.89
QV2M,2014,12.76,12.33,12.15,14.04,17.4,16.3,14.89,15.69,15.93,16.85,15.81,15.14,14.95
QV2M,2015,13.18,12.27,13.31,16.11,17.46,16.78,15.5,15.69,16.17,16.97,17.64,16.42,15.62
QV2M,2016,13.98,14.16,13.92,15.44,16.78,15.93,15.75,15.69,14.95,15.32,13.73,12.88,14.89
QV2M,2017,12.27,11.11,14.4,14.28,16.78,15.44,14.65,16.78,17.76,17.58,17.33,15.01,15.32
QV2M,2018,12.94,13.0,13.43,15.56,17.46,15.93,15.99,15.14,15.62,16.85,16.3,14.95,15.26
QV2M,2019,12.08,13.55,12.82,14.4,15.87,16.11,15.38,15.62,17.21,18.13,17.94,16.24,15.44
QV2M,2020,14.59,13.37,13.31,15.26,15.69,15.81,16.91,17.09,17.03,17.15,17.03,15.81,15.75
T2MDEW,2011,19.64,18.8,17.58,20.08,21.51,19.91,19.76,20.48,21.18,22.73,21.63,19.62,20.25
T2MDEW,2012,18.14,17.15,17.88,20.0,22.17,20.37,20.52,20.61,21.15,22.24,20.73,20.15,20.1
T2MDEW,2013,17.68,17.55,17.9,20.05,20.1,20.31,19.46,20.91,21.87,22.07,21.4,18.72,19.84
T2MDEW,2014,17.61,16.79,16.41,18.76,22.45,21.38,20.01,20.85,21.05,22.05,20.96,20.32,19.9
T2MDEW,2015,18.04,16.69,17.92,21.21,22.57,21.91,20.62,20.8,21.27,22.15,22.81,21.63,20.65
T2MDEW,2016,19.08,19.19,18.71,20.39,21.83,21.08,20.87,20.83,20.01,20.41,18.44,17.44,19.86
T2MDEW,2017,16.73,15.15,19.2,18.96,21.81,20.51,19.7,21.95,22.92,22.71,22.51,20.2,20.23
T2MDEW,2018,17.68,17.73,17.95,20.6,22.53,21.04,21.14,20.28,20.69,21.99,21.46,20.12,20.28
T2MDEW,2019,16.73,18.4,17.33,19.26,20.85,21.16,20.48,20.76,22.4,23.27,23.1,21.51,20.44
