-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  17.4163   Longitude 78.4285 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 565.46 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,8.24,9.46,7.02,9.77,10.56,15.08,16.66,17.09,16.97,14.95,10.38,7.32,11.96
QV2M,2012,7.32,6.04,4.58,10.62,9.22,14.1,16.48,16.72,17.09,14.1,12.02,9.28,11.47
QV2M,2013,8.18,8.61,7.57,11.11,11.47,16.6,16.72,16.91,17.21,16.17,12.88,9.34,12.76
QV2M,2014,9.95,7.87,10.01,9.22,12.57,14.4,16.17,16.36,16.54,13.85,10.19,7.75,12.08
QV2M,2015,6.77,6.59,9.34,11.41,11.17,15.32,15.14,16.24,16.6,13.37,11.29,8.36,11.84
QV2M,2016,6.53,8.0,8.3,8.67,12.82,16.3,16.85,16.6,16.91,14.04,9.89,8.0,11.9
QV2M,2017,6.41,5.13,7.08,6.71,11.05,16.36,16.42,16.66,17.4,15.87,11.72,7.87,11.6
QV2M,2018,5.25,6.1,6.29,9.95,12.21,15.69,15.69,15.99,15.5,12.27,9.77,8.61,11.11
QV2M,2019,6.53,7.63,7.75,9.22,9.52,15.08,16.36,17.09,17.52,16.85,13.43,11.54,12.39
QV2M,2020,10.01,8.36,9.46,10.44,11.9,16.6,17.7,18.07,18.13,16.78,13.67,10.99,13.55
T2MDEW,2011,9.84,11.94,7.22,11.99,13.46,19.39,21.0,21.48,21.35,19.38,13.37,7.69,14.85
T2MDEW,2012,6.82,4.54,0.29,13.7,11.51,18.15,20.87,21.1,21.48,18.34,15.58,11.49,13.67
T2MDEW,2013,9.31,10.44,8.44,14.2,14.68,20.99,21.11,21.32,21.62,20.55,16.94,11.83,15.98
T2MDEW,2014,13.01,9.17,12.98,11.59,16.41,18.64,20.51,20.76,20.99,18.03,12.96,8.65,15.35
T2MDEW,2015,6.3,6.33,11.87,14.69,14.52,19.62,19.46,20.63,21.02,17.44,14.76,9.36,14.7
T2MDEW,2016,5.96,9.08,9.76,10.48,16.75,20.63,21.25,21.01,21.26,18.17,12.59,9.16,14.69
T2MDEW,2017,6.27,2.7,7.03,6.2,14.31,20.73,20.83,21.05,21.77,20.19,15.32,9.26,13.87
T2MDEW,2018,2.92,5.09,5.66,12.59,15.87,19.99,20.08,20.41,19.94,16.01,12.04,9.85,13.4
T2MDEW,2019,5.53,8.43,8.63,11.52,11.73,19.34,20.7,21.44,21.9,21.37,17.66,15.3,15.33
T2MDEW,2020,12.87,9.74,12.03,13.49,15.2,20.92,22.03,22.37,22.46,21.13,17.89,14.47,17.07
GWETTOP,2011,0.52,0.41,0.2,0.19,0.19,0.43,0.63,0.69,0.7,0.6,0.47,0.29,0.45
GWETTOP,2012,0.19,0.14,0.1,0.24,0.2,0.39,0.63,0.67,0.7,0.63,0.52,0.39,0.41
GWETTOP,2013,0.23,0.3,0.17,0.34,0.24,0.6,0.7,0.75,0.77,0.77,0.7,0.57,0.52
GWETTOP,2014,0.47,0.29,0.42,0.26,0.37,0.4,0.54,0.59,0.72,0.56,0.47,0.32,0.45
GWETTOP,2015,0.23,0.15,0.31,0.41,0.28,0.45,0.46,0.53,0.61,0.49,0.33,0.2,0.38
GWETTOP,2016,0.16,0.14,0.15,0.16,0.35,0.53,0.62,0.61,0.73,0.76,0.59,0.47,0.44
GWETTOP,2017,0.3,0.16,0.19,0.15,0.27,0.53,0.61,0.64,0.68,0.72,0.55,0.44,0.44
GWETTOP,2018,0.25,0.15,0.11,0.29,0.27,0.47,0.54,0.59,0.55,0.48,0.34,0.33,0.37
GWETTOP,2019,0.25,0.24,0.16,0.25,0.2,0.4,0.52,0.64,0.68,0.72,0.59,0.48,0.43
GWETTOP,2020,0.4,0.22,0.26,0.25,0.33,0.56,0.74,0.82,0.86,0.88,0.8,0.68,0.56
T2M_MAX,2011,31.36,33.02,39.4,41.26,42.38,37.58,34.93,32.46,30.51,30.95,32.14,32.73,42.38
T2M_MAX,2012,34.42,37.54,40.05,40.71,42.82,41.69,33.77,31.34,30.3,30.81,31.39,33.01,42.82
T2M_MAX,2013,33.92,35.4,39.51,40.6,43.84,33.48,31.46,30.71,29.8,29.49,28.16,28.14,43.84
T2M_MAX,2014,29.77,34.05,40.08,40.4,41.98,41.04,37.26,34.61,30.37,32.54,32.44,32.23,41.98
T2M_MAX,2015,32.02,35.52,39.48,39.91,44.12,39.51,37.15,34.67,34.85,34.86,33.92,35.01,44.12
T2M_MAX,2016,35.65,38.71,40.25,42.66,42.54,39.99,32.92,32.76,30.76,29.21,30.72,30.98,42.66
T2M_MAX,2017,33.69,37.95,41.28,42.94,43.1,39.93,33.13,31.83,30.88,30.47,31.04,30.93,43.1
T2M_MAX,2018,33.1,36.58,40.73,43.14,43.01,39.36,34.58,33.58,34.3,34.24,34.38,32.79,43.14
T2M_MAX,2019,32.19,37.84,41.18,43.56,43.47,41.36,34.76,32.3,31.48,29.06,30.2,30.3,43.56
T2M_MAX,2020,34.01,35.18,39.05,41.17,43.9,36.57,32.12,30.78,31.35,29.3,28.52,27.08,43.9
T2M_MIN,2011,8.97,13.73,17.88,19.97,24.87,22.27,20.58,20.08,19.99,17.84,13.06,11.67,8.97
T2M_MIN,2012,9.89,14.36,14.73,21.87,24.05,21.05,20.76,19.91,19.85,15.24,10.87,11.41,9.89
T2M_MIN,2013,13.69,12.19,15.37,21.37,24.42,21.51,20.19,20.66,18.55,14.73,11.02,9.4,9.4
T2M_MIN,2014,12.24,13.32,16.41,22.12,21.31,23.55,20.98,20.01,18.15,14.33,13.48,10.6,10.6
T2M_MIN,2015,9.73,14.0,14.69,16.83,22.59,21.91,21.41,21.35,18.69,18.73,16.29,11.02,9.73
T2M_MIN,2016,12.37,15.63,19.58,22.57,22.9,22.04,21.37,20.71,18.94,13.37,10.63,9.27,9.27
T2M_MIN,2017,10.94,14.72,16.0,21.62,23.19,21.73,21.48,18.52,19.33,15.3,12.65,10.88,10.88
T2M_MIN,2018,12.19,13.65,18.46,20.91,23.62,21.62,21.12,20.9,19.37,14.8,14.4,8.51,8.51
T2M_MIN,2019,8.18,12.15,16.91,23.12,24.15,21.84,21.48,21.12,20.17,19.8,14.06,11.84,8.18
T2M_MIN,2020,12.44,15.26,18.49,22.01,24.11,22.23,20.57,21.59,19.94,15.52,11.38,9.89,9.89
GWETPROF,2011,0.56,0.5,0.48,0.48,0.48,0.48,0.59,0.64,0.67,0.6,0.52,0.48,0.54
GWETPROF,2012,0.48,0.48,0.48,0.48,0.48,0.52,0.59,0.63,0.67,0.62,0.55,0.49,0.54
GWETPROF,2013,0.48,0.48,0.48,0.48,0.48,0.57,0.65,0.72,0.73,0.74,0.7,0.59,0.59
GWETPROF,2014,0.52,0.48,0.5,0.48,0.49,0.49,0.55,0.57,0.7,0.59,0.52,0.48,0.53
GWETPROF,2015,0.48,0.48,0.48,0.51,0.48,0.51,0.51,0.53,0.58,0.54,0.48,0.48,0.51
GWETPROF,2016,0.48,0.48,0.48,0.48,0.49,0.52,0.59,0.6,0.67,0.75,0.6,0.52,0.55
GWETPROF,2017,0.48,0.48,0.48,0.48,0.48,0.55,0.59,0.61,0.64,0.69,0.58,0.51,0.55
GWETPROF,2018,0.48,0.48,0.48,0.48,0.48,0.5,0.54,0.56,0.56,0.53,0.49,0.48,0.51
GWETPROF,2019,0.48,0.48,0.48,0.48,0.48,0.49,0.52,0.61,0.62,0.68,0.6,0.52,0.54
GWETPROF,2020,0.49,0.48,0.48,0.48,0.48,0.54,0.68,0.8,0.84,0.89,0.8,0.67,0.64
GWETROOT,2011,0.55,0.49,0.48,0.47,0.47,0.48,0.59,0.64,0.66,0.59,0.52,0.48,0.54
GWETROOT,2012,0.48,0.47,0.47,0.48,0.47,0.52,0.6,0.63,0.67,0.62,0.55,0.49,0.54
GWETROOT,2013,0.48,0.48,0.47,0.48,0.48,0.57,0.66,0.72,0.73,0.73,0.69,0.58,0.59
GWETROOT,2014,0.52,0.48,0.5,0.48,0.49,0.48,0.55,0.58,0.69,0.57,0.51,0.48,0.52
GWETROOT,2015,0.48,0.47,0.48,0.51,0.48,0.51,0.51,0.53,0.58,0.53,0.48,0.48,0.5
GWETROOT,2016,0.47,0.47,0.47,0.47,0.48,0.52,0.59,0.59,0.68,0.74,0.59,0.52,0.55
GWETROOT,2017,0.48,0.47,0.47,0.47,0.48,0.55,0.59,0.61,0.63,0.68,0.56,0.5,0.54
GWETROOT,2018,0.48,0.47,0.47,0.48,0.48,0.5,0.54,0.56,0.56,0.52,0.48,0.48,0.5
GWETROOT,2019,0.48,0.48,0.47,0.48,0.48,0.49,0.52,0.61,0.62,0.68,0.59,0.52,0.53
GWETROOT,2020,0.49,0.48,0.48,0.48,0.48,0.55,0.69,0.8,0.84,0.89,0.78,0.66,0.63
WS2M_MAX,2011,4.13,5.05,5.14,5.2,6.41,8.45,7.93,6.89,6.88,4.33,5.13,5.57,8.45
WS2M_MAX,2012,5.2,5.32,5.3,7.12,8.33,7.92,7.59,7.24,6.34,6.73,6.09,4.93,8.33
WS2M_MAX,2013,4.62,5.0,7.15,6.27,7.38,8.66,8.15,8.9,5.7,4.81,5.12,4.75,8.9
WS2M_MAX,2014,5.16,5.68,4.83,4.8,6.32,7.66,8.72,7.27,6.67,5.59,4.99,4.36,8.72
WS2M_MAX,2015,5.29,4.9,5.91,5.45,7.51,9.49,7.55,7.54,6.0,4.15,5.83,4.66,9.49
WS2M_MAX,2016,4.52,6.44,4.96,5.62,7.57,7.23,9.07,8.07,5.49,4.34,3.92,5.2,9.07
WS2M_MAX,2017,4.23,5.66,5.66,5.86,7.42,7.82,8.16,7.25,5.89,4.07,4.3,4.54,8.16
WS2M_MAX,2018,4.5,5.84,4.19,5.09,6.54,8.21,8.61,8.45,5.34,6.13,4.15,5.06,8.61
WS2M_MAX,2019,5.02,5.23,5.68,5.2,7.39,8.3,9.11,9.06,7.03,4.09,4.08,4.68,9.11
WS2M_MAX,2020,4.95,5.19,6.09,5.45,7.34,7.77,7.48,7.71,6.11,4.93,5.56,3.88,7.77
WS2M_MIN,2011,0.06,0.15,0.16,0.21,0.05,0.55,0.35,0.16,0.39,0.23,0.8,0.78,0.05
WS2M_MIN,2012,0.15,0.15,0.4,0.09,0.03,0.2,0.36,0.17,0.1,0.15,0.41,0.34,0.03
WS2M_MIN,2013,0.15,0.2,0.16,0.31,0.18,0.2,1.08,0.26,0.14,0.16,0.6,0.33,0.14
WS2M_MIN,2014,0.28,0.29,0.11,0.08,0.09,0.43,0.45,0.24,0.36,0.62,0.14,0.2,0.08
WS2M_MIN,2015,0.45,0.31,0.2,0.1,0.27,0.15,0.16,0.21,0.02,0.35,0.09,0.09,0.02
WS2M_MIN,2016,0.27,0.13,0.14,0.18,0.16,0.07,0.79,0.55,0.69,0.45,0.62,0.68,0.07
WS2M_MIN,2017,0.16,0.2,0.2,0.1,0.11,0.23,0.76,0.21,0.05,0.09,0.26,0.45,0.05
WS2M_MIN,2018,0.26,0.21,0.08,0.02,0.12,0.62,1.65,0.65,0.16,0.1,0.63,0.16,0.02
WS2M_MIN,2019,0.18,0.33,0.1,0.16,0.18,0.1,0.16,0.4,0.18,0.05,0.01,0.22,0.01
WS2M_MIN,2020,0.02,0.08,0.09,0.38,0.2,0.05,0.42,0.56,0.12,0.05,0.75,0.64,0.02
CLOUD_AMT,2011,13.8,27.62,27.05,38.96,48.45,81.38,87.05,94.57,79.8,41.47,21.66,31.88,49.59
CLOUD_AMT,2012,26.91,33.35,33.57,55.13,54.16,77.31,92.62,86.1,83.18,42.82,30.81,25.7,53.49
CLOUD_AMT,2013,29.08,26.54,39.84,34.23,60.37,84.4,96.17,88.73,73.05,65.24,35.05,21.38,54.71
CLOUD_AMT,2014,28.65,29.15,44.42,43.96,49.48,64.49,91.09,81.77,77.76,42.0,42.01,37.58,52.84
CLOUD_AMT,2015,26.91,28.0,45.91,35.2,50.54,84.16,78.94,86.16,79.07,35.59,43.73,33.89,52.45
CLOUD_AMT,2016,40.12,44.95,48.41,33.12,57.72,86.76,94.16,82.18,84.18,41.63,19.07,31.79,55.39
CLOUD_AMT,2017,27.53,18.99,18.17,25.34,49.9,87.38,92.05,89.31,84.12,67.0,35.43,26.49,52.01
CLOUD_AMT,2018,30.64,35.33,26.74,39.0,55.37,83.62,95.63,91.92,69.88,40.35,31.55,40.1,53.46
CLOUD_AMT,2019,24.34,17.59,17.46,41.71,50.25,75.33,89.41,87.43,91.45,80.07,30.07,46.33,54.53
CLOUD_AMT,2020,29.04,25.39,25.76,45.61,60.23,85.91,89.8,90.38,83.05,67.46,41.25,20.42,55.43
PRECTOTCORR,2011,0.0,0.22,0.07,0.18,0.36,1.61,7.04,6.79,2.02,1.64,0.14,0.01,1.69
PRECTOTCORR,2012,0.04,0.0,0.0,0.7,0.22,3.62,6.72,4.54,4.08,2.03,1.08,0.0,1.93
PRECTOTCORR,2013,0.08,0.71,0.01,1.72,0.68,5.62,8.0,3.97,5.49,6.02,0.35,0.0,2.73
PRECTOTCORR,2014,0.0,0.15,1.73,0.55,1.6,1.68,4.83,7.75,2.56,1.04,0.21,0.12,1.87
PRECTOTCORR,2015,0.13,0.13,0.83,2.79,0.35,2.54,1.69,3.47,4.71,0.43,0.1,0.01,1.43
PRECTOTCORR,2016,0.06,0.02,0.05,0.27,1.76,4.7,5.52,2.58,10.32,1.17,0.0,0.01,2.2
PRECTOTCORR,2017,0.0,0.0,0.32,0.12,0.96,4.85,4.65,4.91,5.0,3.42,0.01,0.0,2.03
PRECTOTCORR,2018,0.0,0.0,0.01,1.0,0.98,2.66,2.93,4.49,2.78,0.94,0.01,0.52,1.37
PRECTOTCORR,2019,0.5,0.02,0.1,0.66,0.46,2.07,3.53,4.87,6.48,3.61,0.1,0.11,1.89
PRECTOTCORR,2020,0.38,0.05,0.53,0.58,1.8,5.44,8.24,6.63,8.03,5.88,0.23,0.0,3.16
ALLSKY_SFC_PAR_TOT,2011,96.62,98.75,118.79,122.76,121.83,102.92,89.91,85.41,96.99,97.67,91.73,85.1,100.69
ALLSKY_SFC_PAR_TOT,2012,89.47,102.59,117.23,118.22,124.51,107.2,81.84,90.16,92.95,97.54,80.66,88.23,99.19
ALLSKY_SFC_PAR_TOT,2013,83.56,101.7,112.2,122.0,124.55,93.27,76.12,83.88,96.29,86.87,86.34,86.47,96.02
ALLSKY_SFC_PAR_TOT,2014,81.21,99.59,103.76,115.41,121.88,116.24,85.57,95.85,91.08,94.21,87.18,80.86,97.67
ALLSKY_SFC_PAR_TOT,2015,88.24,104.72,103.91,122.66,126.22,94.58,105.4,88.63,93.0,98.3,85.09,83.02,99.45
ALLSKY_SFC_PAR_TOT,2016,83.96,96.11,106.24,129.16,125.72,93.88,82.85,91.41,74.86,97.8,93.14,83.48,96.54
ALLSKY_SFC_PAR_TOT,2017,87.02,108.2,119.58,125.53,126.2,95.99,93.24,81.74,90.98,90.52,91.7,87.08,99.73
ALLSKY_SFC_PAR_TOT,2018,89.12,101.54,109.16,121.89,118.54,104.0,81.48,79.73,95.26,100.48,91.07,67.66,96.55
ALLSKY_SFC_PAR_TOT,2019,82.46,102.88,117.49,123.42,126.05,109.94,88.91,88.24,84.11,83.57,88.28,71.9,97.18
ALLSKY_SFC_PAR_TOT,2020,80.59,97.69,110.5,116.48,120.67,103.6,94.35,80.37,85.74,85.38,85.06,85.95,95.5
