-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  23.94   Longitude 91.98 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 108.45 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,8.0,8.3,10.56,13.43,18.74,20.51,20.45,20.39,20.08,17.64,11.78,8.79,14.95
QV2M,2012,7.2,6.1,9.28,15.93,18.86,21.0,20.69,20.81,20.69,18.07,12.82,8.61,15.01
QV2M,2013,6.53,6.96,10.13,14.04,19.41,21.36,20.81,20.51,20.51,18.31,14.1,10.19,15.26
QV2M,2014,8.42,7.75,9.34,13.12,18.37,21.55,21.06,20.63,19.96,17.46,13.43,9.64,15.08
QV2M,2015,8.54,8.3,9.28,16.6,19.71,20.87,20.87,20.81,20.39,17.76,13.55,9.7,15.56
QV2M,2016,7.69,10.5,12.08,18.19,19.41,20.94,20.87,21.12,20.69,18.8,14.53,11.96,16.42
QV2M,2017,8.97,9.16,12.76,18.07,20.32,21.3,21.18,21.24,21.0,18.49,14.34,12.21,16.6
QV2M,2018,8.91,11.17,12.39,16.05,19.53,21.24,21.42,21.24,20.39,16.42,12.63,9.22,15.87
QV2M,2019,7.45,8.48,10.99,15.69,19.41,21.42,21.36,21.42,20.51,18.19,14.59,10.56,15.87
QV2M,2020,9.4,8.67,10.13,14.71,19.17,21.12,21.3,21.24,21.12,19.96,14.65,10.56,15.99
T2MDEW,2011,10.48,10.89,14.1,18.33,23.8,25.25,25.21,25.22,24.96,22.83,16.49,11.78,19.15
