-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  26.84   Longitude 80.94 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 117.11 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,4.82,6.04,5.86,6.04,10.25,15.01,21.55,21.42,20.14,13.55,9.77,5.92,11.72
QV2M,2012,6.1,5.25,4.88,6.9,5.62,9.64,20.32,21.06,19.35,12.94,8.3,5.62,10.5
QV2M,2013,4.7,7.08,6.77,6.96,6.23,17.58,21.73,21.06,19.53,15.56,8.54,6.47,11.9
QV2M,2014,6.1,6.71,6.71,5.74,8.0,11.72,19.41,20.02,17.4,11.9,6.04,4.33,10.38
QV2M,2015,5.19,5.92,7.93,9.58,7.51,12.15,19.65,20.14,15.38,9.28,6.53,3.91,10.31
QV2M,2016,3.54,3.66,5.31,4.76,10.25,15.75,21.55,21.42,19.9,12.7,7.26,5.31,10.99
QV2M,2017,5.13,4.94,5.07,5.49,9.83,13.85,21.55,21.55,19.65,13.49,8.24,5.55,11.23
QV2M,2018,3.85,5.0,4.33,7.87,9.09,14.83,20.87,21.85,19.59,13.24,8.79,5.31,11.23
QV2M,2019,5.07,6.29,6.41,7.14,6.65,13.18,21.55,21.73,20.32,14.95,10.8,7.08,11.78
QV2M,2020,6.96,6.71,9.16,8.85,10.38,17.4,21.55,21.55,19.17,11.66,6.29,4.7,12.02
T2MDEW,2011,3.12,6.22,5.54,5.67,13.44,19.37,26.06,25.99,24.98,18.26,13.47,5.71,14.03
T2MDEW,2012,6.14,3.98,2.62,8.01,4.92,12.45,24.95,25.7,24.26,17.72,10.85,4.99,12.24
T2MDEW,2013,2.37,8.47,7.99,7.83,6.15,22.51,26.15,25.7,24.51,20.61,11.45,7.25,14.27
T2MDEW,2014,6.23,7.21,7.71,5.19,9.96,15.15,24.12,24.8,22.48,16.31,5.88,1.37,12.24
T2MDEW,2015,3.66,5.87,9.98,12.89,8.74,15.92,24.48,24.94,20.34,12.46,7.28,-0.53,12.2
T2MDEW,2016,-1.42,-1.3,3.64,2.59,13.4,20.71,26.07,25.97,24.79,16.78,8.94,4.15,12.08
T2MDEW,2017,3.46,3.04,3.48,4.13,12.96,18.45,26.04,26.08,24.58,18.11,10.44,5.1,13.05
T2MDEW,2018,-0.06,3.13,1.08,9.44,11.78,19.68,25.45,26.3,24.55,18.03,11.83,4.23,13.0
T2MDEW,2019,3.53,6.57,7.01,8.43,7.01,17.58,25.99,26.19,25.14,20.17,15.07,8.36,14.29
T2MDEW,2020,8.24,7.73,12.44,11.82,13.94,22.32,26.07,26.05,24.03,15.44,6.62,2.33,14.77
GWETTOP,2011,0.41,0.37,0.27,0.16,0.22,0.34,0.73,0.87,0.83,0.69,0.54,0.45,0.49
GWETTOP,2012,0.48,0.4,0.32,0.2,0.09,0.14,0.56,0.77,0.85,0.75,0.59,0.48,0.47
GWETTOP,2013,0.42,0.48,0.38,0.23,0.11,0.47,0.79,0.79,0.7,0.67,0.54,0.45,0.5
GWETTOP,2014,0.44,0.41,0.35,0.17,0.16,0.24,0.52,0.6,0.56,0.51,0.41,0.39,0.4
GWETTOP,2015,0.4,0.36,0.39,0.35,0.23,0.22,0.55,0.59,0.43,0.33,0.21,0.23,0.36
GWETTOP,2016,0.2,0.18,0.19,0.09,0.24,0.37,0.72,0.8,0.73,0.62,0.48,0.41,0.42
GWETTOP,2017,0.38,0.35,0.27,0.12,0.25,0.34,0.74,0.82,0.82,0.66,0.51,0.42,0.48
GWETTOP,2018,0.38,0.34,0.16,0.23,0.2,0.31,0.62,0.94,0.88,0.66,0.48,0.41,0.47
GWETTOP,2019,0.39,0.41,0.35,0.2,0.11,0.27,0.75,0.84,0.82,0.82,0.67,0.61,0.52
GWETTOP,2020,0.59,0.51,0.45,0.34,0.29,0.42,0.69,0.73,0.62,0.45,0.38,0.34,0.48
T2M_MAX,2011,25.84,31.96,38.87,42.83,46.0,44.77,34.79,33.57,32.58,32.01,28.35,26.08,46.0
T2M_MAX,2012,24.7,32.65,38.59,41.92,46.87,48.2,45.08,34.21,32.41,32.37,27.1,25.54,48.2
T2M_MAX,2013,26.24,30.65,37.27,44.84,46.67,42.39,34.42,33.77,33.51,31.33,30.19,26.47,46.67
T2M_MAX,2014,25.38,29.07,38.61,45.48,46.33,48.77,42.45,37.86,36.01,35.75,31.92,29.96,48.77
T2M_MAX,2015,25.05,32.94,38.42,41.78,47.48,48.16,41.2,35.94,38.33,38.84,33.9,32.26,48.16
T2M_MAX,2016,30.84,37.69,41.01,45.45,47.25,44.87,35.98,33.91,33.88,33.23,29.87,27.78,47.25
T2M_MAX,2017,28.47,33.71,43.73,45.15,46.83,47.9,37.0,34.12,33.99,34.08,29.9,28.07,47.9
T2M_MAX,2018,29.71,34.17,40.8,43.55,46.97,46.68,40.94,33.32,31.76,32.24,30.83,26.47,46.97
T2M_MAX,2019,26.62,32.49,39.71,45.72,47.4,47.48,41.51,34.26,33.91,30.04,28.31,23.94,47.48
T2M_MAX,2020,23.04,27.67,35.94,41.52,47.77,41.67,36.93,34.41,36.12,36.19,32.29,29.94,47.77
T2M_MIN,2011,2.24,7.76,9.45,17.26,25.46,25.99,25.33,23.96,21.46,15.78,10.43,5.31,2.24
T2M_MIN,2012,3.3,3.65,8.62,19.19,24.01,30.16,25.71,24.86,19.3,14.35,7.33,4.25,3.3
T2M_MIN,2013,1.19,7.13,9.56,18.14,23.92,25.19,24.83,23.65,22.82,14.08,8.76,6.02,1.19
T2M_MIN,2014,4.31,5.8,10.31,17.3,26.11,29.86,25.2,24.84,19.76,14.91,9.27,3.98,3.98
T2M_MIN,2015,4.72,6.9,9.46,18.15,22.19,24.54,24.72,24.69,20.12,16.34,13.66,6.05,4.72
T2M_MIN,2016,4.12,7.67,14.22,22.89,25.44,27.15,25.1,24.58,22.73,14.03,9.67,6.05,4.12
T2M_MIN,2017,2.48,7.78,9.64,19.68,25.14,26.95,24.88,23.73,21.8,15.72,8.3,5.9,2.48
T2M_MIN,2018,4.07,8.05,14.6,20.71,24.51,27.81,25.37,23.48,19.67,15.87,10.61,2.82,2.82
