-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  30.06   Longitude 79.01 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1266.18 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,3.85,5.13,5.31,6.23,8.73,14.4,17.7,17.64,15.87,10.44,7.51,4.27,9.77
QV2M,2012,4.27,4.27,3.97,6.77,5.43,7.93,17.58,17.94,16.11,9.83,6.71,4.76,8.79
QV2M,2013,4.58,6.53,7.26,7.2,5.62,15.5,18.68,17.94,15.69,12.15,6.35,4.94,10.25
QV2M,2014,4.94,5.68,6.9,7.02,8.0,10.74,15.99,16.66,15.38,10.31,5.68,3.72,9.28
QV2M,2015,4.46,5.49,7.45,8.73,7.02,10.93,17.64,17.7,13.98,9.64,6.59,4.15,9.52
QV2M,2016,3.66,4.09,5.92,5.92,8.79,13.73,17.58,17.64,15.44,9.09,4.52,3.3,9.16
QV2M,2017,4.33,4.58,5.25,6.1,8.91,13.12,17.58,17.88,15.69,9.52,6.1,4.46,9.52
QV2M,2018,3.17,4.21,4.76,6.77,6.53,14.16,17.94,18.13,15.81,9.58,7.08,4.52,9.4
QV2M,2019,4.52,5.62,6.1,7.45,6.71,9.77,16.97,17.88,16.48,10.01,6.59,4.21,9.4
QV2M,2020,4.88,5.19,7.2,8.54,9.58,13.49,17.82,18.49,15.56,8.54,4.88,3.66,9.83
T2MDEW,2011,-2.21,1.87,2.39,4.41,9.2,17.0,20.65,20.59,18.8,12.12,7.26,-1.13,9.28
T2MDEW,2012,-0.75,-0.65,-1.99,5.81,2.62,7.44,20.46,20.9,19.08,11.42,5.58,0.73,7.58
T2MDEW,2013,0.18,5.46,6.95,6.64,3.07,18.28,21.5,20.9,18.74,14.45,4.88,1.37,10.22
T2MDEW,2014,1.37,3.31,6.26,6.4,8.35,12.15,18.94,19.64,18.39,12.17,3.28,-2.52,9.01
T2MDEW,2015,-0.24,2.81,7.4,9.67,6.11,12.53,20.6,20.69,16.88,11.11,5.49,-1.1,9.37
T2MDEW,2016,-2.8,-1.56,3.96,3.55,9.14,16.42,20.57,20.62,18.53,9.65,0.23,-4.11,7.88
T2MDEW,2017,-0.38,0.25,2.04,4.19,9.64,15.58,20.55,20.83,18.73,10.68,4.09,-0.33,8.87
T2MDEW,2018,-4.64,-1.13,0.7,5.68,4.8,16.91,20.86,21.06,18.82,10.95,6.53,-0.03,8.41
T2MDEW,2019,0.08,3.13,4.42,7.21,5.39,10.65,19.95,20.84,19.54,11.59,5.44,-1.12,8.95
T2MDEW,2020,1.02,1.8,6.9,9.36,10.83,16.26,20.74,21.33,18.35,9.0,1.04,-3.02,9.49
GWETTOP,2011,0.64,0.61,0.54,0.42,0.41,0.65,0.88,0.95,0.93,0.82,0.7,0.61,0.68
GWETTOP,2012,0.6,0.55,0.44,0.41,0.29,0.3,0.71,0.92,0.94,0.81,0.7,0.63,0.61
GWETTOP,2013,0.64,0.75,0.66,0.48,0.29,0.7,0.93,0.96,0.91,0.84,0.74,0.65,0.71
GWETTOP,2014,0.65,0.69,0.68,0.54,0.42,0.43,0.67,0.87,0.82,0.72,0.59,0.55,0.63
GWETTOP,2015,0.57,0.55,0.67,0.59,0.39,0.39,0.81,0.9,0.81,0.66,0.55,0.49,0.62
GWETTOP,2016,0.38,0.47,0.47,0.34,0.4,0.5,0.73,0.88,0.79,0.63,0.5,0.38,0.54
GWETTOP,2017,0.52,0.52,0.47,0.42,0.41,0.55,0.77,0.82,0.83,0.71,0.58,0.54,0.59
GWETTOP,2018,0.5,0.45,0.41,0.42,0.3,0.53,0.72,0.9,0.9,0.79,0.68,0.6,0.6
GWETTOP,2019,0.59,0.66,0.62,0.49,0.34,0.37,0.66,0.8,0.79,0.73,0.61,0.62,0.61
GWETTOP,2020,0.66,0.66,0.71,0.61,0.57,0.55,0.73,0.87,0.8,0.59,0.48,0.45,0.64
T2M_MAX,2011,17.4,22.58,28.13,33.21,36.44,33.4,28.6,27.54,27.71,24.67,21.46,21.69,36.44
T2M_MAX,2012,17.21,22.76,30.03,31.69,38.94,39.37,35.44,27.37,27.02,26.05,22.2,22.2,39.37
T2M_MAX,2013,18.59,20.18,26.26,32.75,39.56,36.64,27.9,26.67,26.61,26.25,21.39,19.9,39.56
T2M_MAX,2014,18.26,19.79,25.23,34.35,37.37,38.88,34.41,27.55,26.9,25.99,23.7,23.44,38.88
T2M_MAX,2015,20.34,25.2,27.79,31.36,37.08,37.91,31.48,27.53,27.37,26.62,24.4,23.62,37.91
T2M_MAX,2016,21.09,25.17,29.89,35.51,37.55,35.14,31.6,28.21,27.01,27.43,26.46,23.57,37.55
T2M_MAX,2017,21.43,25.22,33.09,36.09,37.04,38.88,30.54,27.72,28.01,27.26,23.68,22.78,38.88
T2M_MAX,2018,23.7,24.26,30.62,33.8,38.33,36.32,31.8,27.87,27.6,24.98,21.83,18.91,38.33
T2M_MAX,2019,19.02,20.23,29.12,34.85,38.81,38.67,35.73,28.73,27.52,24.82,24.94,20.61,38.81
T2M_MAX,2020,18.01,23.85,26.05,30.4,36.62,33.9,30.8,28.87,27.86,27.37,25.65,22.1,36.62
T2M_MIN,2011,0.42,4.04,6.31,9.43,16.25,16.63,19.21,18.76,16.01,10.5,6.05,3.83,0.42
T2M_MIN,2012,1.62,0.77,3.94,12.44,13.73,20.63,19.59,19.53,17.08,9.05,6.23,4.44,0.77
T2M_MIN,2013,2.55,4.62,9.71,11.21,17.5,18.21,19.78,19.57,17.6,10.65,7.55,1.24,1.24
T2M_MIN,2014,2.36,1.76,6.07,10.51,15.32,18.83,20.4,18.08,16.56,11.11,9.09,3.81,1.76
T2M_MIN,2015,2.61,5.2,5.33,10.37,14.55,19.55,19.04,18.51,15.33,9.92,8.87,3.34,2.61
T2M_MIN,2016,2.33,4.76,9.08,13.88,17.02,20.23,19.73,19.74,17.36,11.85,8.34,5.32,2.33
T2M_MIN,2017,2.04,4.56,3.43,11.82,14.53,18.59,19.73,19.01,16.59,10.37,7.86,5.43,2.04
T2M_MIN,2018,3.05,6.01,7.66,11.93,14.45,19.83,19.54,19.78,16.6,9.23,7.57,0.98,0.98
T2M_MIN,2019,1.01,0.36,3.78,11.55,15.37,18.94,19.68,19.65,16.51,12.38,7.51,-1.63,-1.63
T2M_MIN,2020,1.08,1.3,4.15,11.34,13.9,16.25,18.82,18.62,14.96,12.49,7.3,3.17,1.08
GWETPROF,2011,0.62,0.6,0.56,0.52,0.51,0.61,0.84,0.95,0.94,0.8,0.67,0.61,0.69
GWETPROF,2012,0.59,0.56,0.53,0.51,0.49,0.5,0.66,0.89,0.95,0.8,0.67,0.62,0.65
GWETPROF,2013,0.62,0.7,0.65,0.55,0.5,0.68,0.92,0.97,0.91,0.82,0.71,0.63,0.72
GWETPROF,2014,0.62,0.66,0.66,0.57,0.52,0.51,0.62,0.83,0.78,0.7,0.6,0.57,0.63
GWETPROF,2015,0.58,0.55,0.64,0.59,0.52,0.51,0.75,0.87,0.79,0.65,0.57,0.54,0.63
GWETPROF,2016,0.52,0.52,0.52,0.5,0.5,0.52,0.68,0.85,0.76,0.63,0.55,0.52,0.59
GWETPROF,2017,0.54,0.54,0.52,0.51,0.5,0.55,0.71,0.77,0.8,0.7,0.59,0.55,0.61
GWETPROF,2018,0.53,0.52,0.51,0.51,0.49,0.55,0.66,0.87,0.88,0.77,0.66,0.6,0.63
GWETPROF,2019,0.59,0.63,0.62,0.55,0.5,0.5,0.62,0.74,0.74,0.71,0.61,0.61,0.62
GWETPROF,2020,0.63,0.64,0.67,0.61,0.59,0.56,0.66,0.84,0.77,0.61,0.54,0.52,0.64
GWETROOT,2011,0.63,0.61,0.56,0.52,0.51,0.62,0.86,0.97,0.95,0.8,0.67,0.61,0.7
GWETROOT,2012,0.6,0.56,0.52,0.51,0.49,0.49,0.66,0.91,0.96,0.8,0.67,0.62,0.66
GWETROOT,2013,0.62,0.71,0.65,0.55,0.49,0.7,0.95,0.98,0.92,0.84,0.72,0.63,0.73
GWETROOT,2014,0.63,0.66,0.66,0.57,0.52,0.51,0.63,0.84,0.8,0.7,0.6,0.57,0.64
GWETROOT,2015,0.58,0.56,0.65,0.6,0.52,0.51,0.77,0.89,0.8,0.66,0.57,0.54,0.64
GWETROOT,2016,0.52,0.52,0.52,0.49,0.5,0.52,0.7,0.88,0.77,0.63,0.55,0.52,0.59
GWETROOT,2017,0.54,0.54,0.52,0.51,0.5,0.55,0.73,0.78,0.81,0.7,0.59,0.55,0.61
GWETROOT,2018,0.53,0.52,0.51,0.5,0.49,0.55,0.68,0.89,0.9,0.78,0.67,0.61,0.63
GWETROOT,2019,0.59,0.64,0.62,0.54,0.49,0.5,0.63,0.76,0.76,0.72,0.61,0.62,0.62
GWETROOT,2020,0.65,0.65,0.68,0.61,0.59,0.57,0.68,0.85,0.78,0.61,0.54,0.52,0.64
WS2M_MAX,2011,3.78,4.13,5.29,5.2,5.62,4.0,5.62,5.28,3.53,3.41,3.45,3.65,5.62
WS2M_MAX,2012,4.45,5.23,5.93,6.48,5.71,6.4,5.12,4.13,4.98,3.83,3.79,4.64,6.48
WS2M_MAX,2013,6.21,4.7,4.57,6.44,6.6,6.73,5.05,4.86,4.25,4.18,3.55,4.5,6.73
WS2M_MAX,2014,3.8,4.23,4.73,5.46,6.23,6.68,4.85,5.11,4.31,3.33,4.15,4.56,6.68
WS2M_MAX,2015,5.68,5.44,5.52,6.19,6.89,6.74,5.09,4.58,4.31,4.26,4.16,4.26,6.89
WS2M_MAX,2016,4.99,5.77,6.15,7.03,7.19,5.64,4.86,3.73,3.95,4.11,4.97,3.96,7.19
WS2M_MAX,2017,4.51,5.5,7.41,6.55,6.62,6.39,4.21,5.98,4.52,3.77,3.8,3.9,7.41
WS2M_MAX,2018,7.63,5.66,5.76,6.49,7.39,6.82,5.49,5.03,4.68,3.16,3.59,3.76,7.63
WS2M_MAX,2019,5.09,5.58,5.14,5.88,6.66,6.2,5.31,3.88,3.74,2.96,3.51,5.41,6.66
