-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  22.98   Longitude 87.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 15.81 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2011,6.77,7.32,10.74,13.85,18.86,20.57,21.06,21.3,20.81,17.27,12.63,9.03,15.08
QV2M,2012,8.61,7.81,8.3,15.01,17.09,19.65,20.94,21.3,20.51,15.38,11.05,7.75,14.47
QV2M,2013,6.1,6.77,8.42,13.0,18.8,21.3,21.61,21.24,20.87,18.49,12.15,9.52,14.89
QV2M,2014,8.12,9.03,10.25,11.78,16.17,21.3,21.85,21.48,20.39,16.72,10.68,7.32,14.59
QV2M,2015,7.69,8.73,9.58,15.38,18.25,19.9,21.61,21.61,20.32,16.91,12.63,8.97,15.14
QV2M,2016,7.2,10.07,12.33,14.16,17.21,20.2,21.0,21.3,20.81,17.4,12.21,9.28,15.26
QV2M,2017,7.69,8.0,10.86,15.26,17.64,20.45,21.61,21.61,21.18,18.55,12.63,10.31,15.5
QV2M,2018,6.77,9.16,10.44,15.5,17.64,20.26,21.67,21.67,20.51,15.62,12.15,7.75,14.95
QV2M,2019,6.35,8.18,11.72,14.83,17.7,20.08,20.63,21.48,20.75,17.64,13.73,9.58,15.26
QV2M,2020,8.42,8.36,11.29,13.79,18.13,21.42,21.73,22.16,21.42,19.41,12.7,9.09,15.69
T2MDEW,2011,7.9,9.04,14.15,18.82,24.0,25.43,25.87,26.08,25.73,22.6,17.73,12.35,19.19
T2MDEW,2012,11.54,9.73,10.37,20.04,22.15,24.61,25.73,26.08,25.51,20.62,15.3,9.81,18.48
T2MDEW,2013,6.26,8.01,10.6,16.98,23.81,26.05,26.28,26.04,25.78,23.73,17.0,13.27,18.71
T2MDEW,2014,10.8,12.26,14.16,15.91,21.05,26.0,26.48,26.23,25.37,22.06,14.8,9.19,18.73
T2MDEW,2015,9.58,11.42,12.72,20.55,23.44,24.91,26.3,26.33,25.33,22.28,17.69,11.9,19.4
T2MDEW,2016,8.8,13.73,16.82,18.67,22.34,25.21,25.87,26.06,25.74,22.69,17.04,12.82,19.66
T2MDEW,2017,9.98,10.18,14.23,20.1,22.87,25.36,26.3,26.36,26.04,23.74,17.34,14.37,19.79
T2MDEW,2018,8.1,12.66,14.0,20.72,22.9,25.19,26.31,26.33,25.5,20.98,16.97,9.9,19.15
T2MDEW,2019,7.12,10.34,16.01,19.87,22.78,25.05,25.54,26.23,25.69,23.05,18.99,13.24,19.54
T2MDEW,2020,11.27,11.17,15.8,18.55,23.33,26.21,26.44,26.72,26.22,24.53,17.63,12.46,20.05
GWETTOP,2011,0.52,0.41,0.34,0.36,0.48,0.62,0.84,0.91,0.91,0.83,0.71,0.59,0.62
GWETTOP,2012,0.55,0.43,0.32,0.38,0.37,0.41,0.61,0.75,0.82,0.77,0.7,0.59,0.55
GWETTOP,2013,0.48,0.38,0.3,0.29,0.43,0.64,0.76,0.86,0.9,0.94,0.85,0.76,0.63
GWETTOP,2014,0.66,0.54,0.41,0.27,0.33,0.53,0.74,0.8,0.84,0.8,0.66,0.54,0.59
GWETTOP,2015,0.49,0.41,0.35,0.41,0.42,0.5,0.84,0.9,0.88,0.8,0.65,0.52,0.59
GWETTOP,2016,0.43,0.4,0.38,0.26,0.41,0.52,0.73,0.87,0.89,0.83,0.74,0.62,0.59
GWETTOP,2017,0.51,0.38,0.37,0.31,0.41,0.55,0.82,0.93,0.91,0.91,0.84,0.78,0.64
GWETTOP,2018,0.7,0.55,0.38,0.43,0.41,0.55,0.72,0.84,0.85,0.77,0.62,0.52,0.62
GWETTOP,2019,0.43,0.38,0.45,0.37,0.41,0.43,0.54,0.71,0.78,0.81,0.79,0.7,0.57
GWETTOP,2020,0.65,0.52,0.45,0.38,0.53,0.73,0.81,0.88,0.88,0.85,0.75,0.64,0.67
T2M_MAX,2011,28.66,34.18,39.53,41.44,40.69,40.81,33.98,33.88,32.76,31.74,28.51,27.5,41.44
T2M_MAX,2012,26.92,34.87,40.08,41.94,43.55,45.98,36.66,33.53,32.59,31.38,29.38,26.89,45.98
T2M_MAX,2013,28.51,35.36,40.8,44.03,44.69,35.58,34.32,32.69,32.91,31.29,29.53,26.06,44.69
T2M_MAX,2014,25.71,30.1,40.72,44.43,45.69,42.48,34.63,33.42,33.04,32.64,30.23,27.1,45.69
T2M_MAX,2015,29.07,34.55,38.39,41.61,43.12,38.72,34.72,32.23,33.37,33.03,30.13,28.98,43.12
T2M_MAX,2016,30.42,36.49,38.34,45.57,44.83,42.3,34.85,33.22,32.33,32.76,30.21,27.23,45.57
T2M_MAX,2017,28.33,34.59,40.71,42.52,42.4,41.07,33.69,32.42,33.9,33.0,29.46,27.63,42.52
T2M_MAX,2018,25.09,33.31,38.52,39.82,41.98,40.36,34.56,32.87,32.66,32.92,30.71,27.52,41.98
T2M_MAX,2019,30.19,35.43,38.42,44.05,42.63,43.77,36.69,34.5,33.19,31.22,29.15,26.98,44.05
T2M_MAX,2020,26.44,30.43,37.95,41.52,40.58,34.23,33.4,33.4,32.99,32.75,30.08,26.4,41.52
T2M_MIN,2011,5.49,10.81,12.51,20.4,24.5,26.08,24.05,23.89,22.74,16.45,13.26,7.06,5.49
T2M_MIN,2012,5.82,7.93,14.76,22.95,23.58,26.87,25.01,25.08,21.58,13.54,8.44,3.94,3.94
T2M_MIN,2013,2.78,8.9,12.73,20.71,24.95,25.5,25.55,24.87,24.12,17.09,12.24,7.4,2.78
T2M_MIN,2014,6.14,7.04,14.4,21.01,24.88,26.59,25.3,25.08,21.97,17.69,10.0,6.39,6.14
T2M_MIN,2015,6.37,7.45,13.55,21.74,25.06,24.98,25.13,24.94,22.38,17.67,15.3,7.66,6.37
T2M_MIN,2016,7.12,12.3,17.69,23.55,25.77,26.01,23.99,24.05,24.33,18.15,11.79,8.64,7.12
T2M_MIN,2017,4.95,10.76,14.04,20.19,25.05,25.76,25.27,25.05,24.87,18.97,10.57,8.23,4.95
T2M_MIN,2018,5.08,10.88,14.76,19.59,24.12,25.27,25.22,25.23,22.76,16.23,13.41,5.64,5.08
T2M_MIN,2019,7.36,9.84,12.69,20.24,23.27,26.73,25.42,25.32,23.08,18.19,14.74,4.97,4.97
T2M_MIN,2020,6.02,8.0,15.55,19.3,23.51,25.69,24.67,25.23,24.08,17.67,10.89,6.3,6.02
GWETPROF,2011,0.52,0.44,0.38,0.38,0.46,0.59,0.84,0.93,0.95,0.84,0.68,0.56,0.63
GWETPROF,2012,0.53,0.46,0.39,0.4,0.39,0.41,0.55,0.7,0.8,0.74,0.65,0.55,0.55
GWETPROF,2013,0.48,0.42,0.38,0.37,0.41,0.57,0.7,0.86,0.92,0.97,0.87,0.73,0.64
GWETPROF,2014,0.62,0.52,0.45,0.38,0.38,0.49,0.68,0.77,0.83,0.78,0.63,0.52,0.59
GWETPROF,2015,0.49,0.44,0.4,0.42,0.44,0.47,0.8,0.92,0.89,0.78,0.62,0.51,0.6
GWETPROF,2016,0.45,0.43,0.42,0.37,0.41,0.5,0.66,0.86,0.91,0.84,0.7,0.59,0.59
GWETPROF,2017,0.51,0.43,0.4,0.38,0.41,0.51,0.78,0.96,0.93,0.95,0.85,0.76,0.66
GWETPROF,2018,0.66,0.54,0.43,0.43,0.44,0.51,0.66,0.82,0.86,0.75,0.59,0.51,0.6
GWETPROF,2019,0.45,0.41,0.46,0.41,0.44,0.44,0.5,0.65,0.74,0.8,0.77,0.66,0.56
GWETPROF,2020,0.61,0.52,0.47,0.41,0.51,0.66,0.78,0.89,0.89,0.86,0.72,0.6,0.66
GWETROOT,2011,0.52,0.44,0.38,0.38,0.47,0.6,0.85,0.95,0.97,0.85,0.69,0.57,0.64
GWETROOT,2012,0.53,0.46,0.39,0.4,0.39,0.42,0.56,0.71,0.82,0.76,0.66,0.55,0.55
GWETROOT,2013,0.48,0.42,0.38,0.37,0.42,0.59,0.73,0.88,0.95,0.98,0.89,0.75,0.66
GWETROOT,2014,0.63,0.53,0.45,0.38,0.38,0.5,0.7,0.8,0.85,0.8,0.64,0.53,0.6
GWETROOT,2015,0.49,0.44,0.39,0.42,0.45,0.48,0.83,0.95,0.91,0.8,0.62,0.52,0.61
GWETROOT,2016,0.45,0.43,0.42,0.37,0.42,0.51,0.68,0.88,0.95,0.85,0.72,0.6,0.61
GWETROOT,2017,0.51,0.43,0.4,0.38,0.41,0.52,0.8,0.98,0.96,0.97,0.87,0.77,0.67
GWETROOT,2018,0.66,0.55,0.43,0.44,0.44,0.52,0.67,0.84,0.88,0.77,0.6,0.51,0.61
GWETROOT,2019,0.46,0.41,0.47,0.41,0.44,0.45,0.51,0.66,0.77,0.81,0.78,0.68,0.57
GWETROOT,2020,0.62,0.52,0.47,0.41,0.52,0.68,0.8,0.91,0.91,0.88,0.73,0.61,0.67
WS2M_MAX,2011,4.18,4.27,6.31,5.26,5.37,6.95,5.52,5.39,6.05,3.98,2.73,3.16,6.95
WS2M_MAX,2012,3.97,5.02,4.17,4.84,5.41,7.38,5.51,4.73,4.91,3.94,4.2,3.93,7.38
WS2M_MAX,2013,4.2,5.23,5.14,5.76,8.26,6.55,6.67,7.09,4.59,6.08,3.59,2.98,8.26
WS2M_MAX,2014,3.77,6.24,5.78,4.94,7.96,5.75,6.22,8.92,5.35,3.35,2.88,3.99,8.92
WS2M_MAX,2015,4.72,4.09,4.73,5.37,5.55,6.73,6.76,5.71,5.73,2.54,3.43,3.69,6.76
WS2M_MAX,2016,4.39,3.51,4.52,6.79,7.07,5.11,6.08,6.38,3.75,3.35,3.74,3.43,7.07
WS2M_MAX,2017,4.22,5.1,5.03,6.22,5.09,6.64,6.94,5.55,4.05,6.27,3.4,3.32,6.94
WS2M_MAX,2018,3.45,3.66,4.5,4.86,5.41,5.37,6.69,5.9,5.95,4.69,2.84,4.72,6.69
WS2M_MAX,2019,4.12,5.25,4.97,6.27,9.62,6.12,6.16,7.61,5.26,3.9,7.41,3.8,9.62
WS2M_MAX,2020,3.67,3.63,5.04,4.12,11.84,5.2,5.02,6.79,5.37,3.74,3.33,3.31,11.84
WS2M_MIN,2011,0.07,0.14,0.16,0.12,0.07,0.16,0.41,0.25,0.12,0.01,0.12,0.45,0.01
WS2M_MIN,2012,0.02,0.13,0.23,0.02,0.4,0.38,0.25,0.2,0.12,0.15,0.34,0.1,0.02
WS2M_MIN,2013,0.2,0.07,0.06,0.27,0.19,0.3,0.17,0.27,0.16,0.05,0.28,0.07,0.05
WS2M_MIN,2014,0.11,0.14,0.17,0.23,0.26,0.2,0.46,0.23,0.06,0.05,0.25,0.2,0.05
WS2M_MIN,2015,0.13,0.0,0.21,0.02,0.27,0.85,0.04,0.17,0.07,0.01,0.04,0.08,0.0
WS2M_MIN,2016,0.16,0.08,0.17,0.16,0.02,0.15,0.24,0.06,0.03,0.09,0.1,0.38,0.02
WS2M_MIN,2017,0.15,0.36,0.03,0.17,0.27,0.23,0.32,0.18,0.02,0.05,0.24,0.16,0.02
WS2M_MIN,2018,0.13,0.09,0.24,0.27,0.16,0.31,0.45,0.03,0.1,0.05,0.06,0.8,0.03
WS2M_MIN,2019,0.09,0.05,0.11,0.1,0.09,0.17,0.23,0.03,0.05,0.01,0.19,0.04,0.01
WS2M_MIN,2020,0.06,0.09,0.02,0.1,0.18,0.18,0.55,0.19,0.05,0.07,0.19,0.07,0.02
